Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
DCAF13	DCAF13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	294	27%
COMMD5	COMMD5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	278	25%
ATAD2	ATAD2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	264	24%
COPS5	COPS5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	258	23%
AGO2	AGO2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	254	23%
AHCTF1	AHCTF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	242	22%
EIF3E	EIF3E: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	238	22%
H3-3A	H3-3A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	236	21%
ASH2L	ASH2L: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	236	21%
COPA	COPA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	234	21%
FBXO32	FBXO32: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	232	21%
CPSF1	CPSF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	231	21%
ERLIN2	ERLIN2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	230	21%
ARF1	ARF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	228	21%
EPRS1	EPRS1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	221	20%
DAP3	DAP3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	218	20%
CHD1L	CHD1L: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	216	20%
AKT3	AKT3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	209	19%
CTTN	CTTN: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	204	18%
ANP32E	ANP32E: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	201	18%
C1ORF198	C1ORF198: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	199	18%
CLTC	CLTC: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	194	18%
FGF19	FGF19: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	191	17%
EXO1	EXO1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	187	17%
ARHGEF2	ARHGEF2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	178	16%
H2AC21	H2AC21: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	175	16%
BCL9	BCL9: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	175	16%
H3C14	H3C14: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	172	16%
DCTN6	DCTN6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	172	16%
ARPC5	ARPC5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	170	15%
H2AC18	H2AC18: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	170	15%
H2AC20	H2AC20: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	170	15%
BRD7	BRD7: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	168	15%
CDK12	CDK12: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	168	15%
CSTF1	CSTF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	168	15%
CD55	CD55: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	168	15%
H2AW	H2AW: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	166	15%
CASC3	CASC3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	165	15%
COPS3	COPS3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	161	15%
CHRNB3	CHRNB3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	161	15%
CGN	CGN: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	160	15%
CACNA1E	CACNA1E: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	160	15%
H2BU1	H2BU1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	159	14%
FTSJ3	FTSJ3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	158	14%
CENPL	CENPL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	157	14%
DHX9	DHX9: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	155	14%
ERCC5	ERCC5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	155	14%
DTL	DTL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	155	14%
DDX5	DDX5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	148	13%
FCGR3A	FCGR3A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	144	13%
BRIP1	BRIP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	143	13%
DNM3	DNM3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	140	13%
H3C13	H3C13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	140	13%
H4C14	H4C14: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	136	12%
H4C15	H4C15: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	136	12%
H3C15	H3C15: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	136	12%
H2AC19	H2AC19: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	136	12%
ERCC4	ERCC4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	131	12%
DYNC1LI2	DYNC1LI2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	130	12%
GNA13	GNA13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	129	12%
DDX42	DDX42: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	129	12%
CCAR2	CCAR2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	129	12%
GPS1	GPS1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	128	12%
H3-3B	H3-3B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	127	12%
ATM	ATM: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	127	12%
CWC25	CWC25: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	124	11%
EEF2	EEF2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	119	11%
GTPBP4	GTPBP4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	119	11%
CSNK1D	CSNK1D: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	119	11%
EFTUD2	EFTUD2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	118	11%
EIF4A3	EIF4A3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	117	11%
CUL4A	CUL4A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	117	11%
CDC40	CDC40: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	117	11%
DNAJA2	DNAJA2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	116	11%
ACTL6A	ACTL6A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	116	11%
EIF4G1	EIF4G1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	113	10%
BUD13	BUD13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	113	10%
ESR1	ESR1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	112	10%
CEP131	CEP131: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	112	10%
DHX8	DHX8: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	109	10%
DDX47	DDX47: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	108	10%
CDC6	CDC6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	106	10%
ALYREF	ALYREF: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	105	10%
ERAL1	ERAL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	105	10%
DHX38	DHX38: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	104	9%
CWC15	CWC15: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	104	9%
CENPN	CENPN: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	103	9%
ELOB	ELOB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	102	9%
CTNNBL1	CTNNBL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	101	9%
DCUN1D3	DCUN1D3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	98	9%
BRIX1	BRIX1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	97	9%
CDC5L	CDC5L: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	95	9%
DDX52	DDX52: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	95	9%
CEP250	CEP250: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	95	9%
EIF3K	EIF3K: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	95	9%
FXR1	FXR1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	95	9%
DNAJB12	DNAJB12: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	95	9%
CLTA	CLTA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	94	9%
FBXL5	FBXL5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	94	9%
COPRS	COPRS: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	94	9%
DCUN1D1	DCUN1D1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	93	8%
DSN1	DSN1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	93	8%
CHEK1	CHEK1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	92	8%
FBXL19	FBXL19: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	92	8%
GABARAP	GABARAP: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	90	8%
EXOSC8	EXOSC8: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	89	8%
ANAPC4	ANAPC4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	89	8%
CPSF3	CPSF3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	88	8%
CPSF4	CPSF4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	88	8%
BAP1	BAP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	88	8%
FRG1	FRG1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	88	8%
ARRB1	ARRB1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	87	8%
DDB1	DDB1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	87	8%
ATR	ATR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	87	8%
GSPT1	GSPT1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	87	8%
AQR	AQR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	87	8%
DHX16	DHX16: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	87	8%
CENPT	CENPT: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	87	8%
CDK1	CDK1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	86	8%
EIF3D	EIF3D: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	86	8%
AXL	AXL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	86	8%
FAU	FAU: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	86	8%
FBL	FBL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	85	8%
DCUN1D5	DCUN1D5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	85	8%
GTF2H5	GTF2H5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	85	8%
ASB13	ASB13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	85	8%
CPNE1	CPNE1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	84	8%
CHRNA2	CHRNA2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	84	8%
CCNF	CCNF: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	84	8%
