Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
ACTL6A	ACTL6A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	171	55%
COMMD2	COMMD2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	162	52%
DCUN1D1	DCUN1D1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	149	48%
FXR1	FXR1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	134	43%
EIF4G1	EIF4G1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	127	41%
GFM1	GFM1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	124	40%
ATR	ATR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	117	38%
BUD13	BUD13: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	97	31%
EEFSEC	EEFSEC: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	84	27%
CSTF1	CSTF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	80	26%
AHCTF1	AHCTF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	73	24%
ARCN1	ARCN1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	70	23%
CEP72	CEP72: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	69	22%
CPNE1	CPNE1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	68	22%
GTF2H4	GTF2H4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	68	22%
CRNKL1	CRNKL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	67	22%
BRIX1	BRIX1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	66	21%
COPB2	COPB2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	66	21%
DHX16	DHX16: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	66	21%
DHX38	DHX38: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	65	21%
CUL4A	CUL4A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	65	21%
COPS7B	COPS7B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	63	20%
ATAD2	ATAD2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	60	19%
DHX35	DHX35: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	59	19%
ARF1	ARF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	58	19%
