Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
ACTL6A	ACTL6A: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	157	53%
COMMD2	COMMD2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	149	50%
DCUN1D1	DCUN1D1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	137	46%
FXR1	FXR1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	126	42%
ATR	ATR: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	121	41%
GFM1	GFM1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	116	39%
EIF4G1	EIF4G1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	115	39%
BUD13	BUD13: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	90	30%
EEFSEC	EEFSEC: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	81	27%
CSTF1	CSTF1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	78	26%
COPB2	COPB2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	76	26%
AHCTF1	AHCTF1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	72	24%
DHX16	DHX16: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	70	24%
ARCN1	ARCN1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	69	23%
GTF2H4	GTF2H4: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	68	23%
DHX38	DHX38: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	66	22%
CPNE1	CPNE1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	66	22%
CEP250	CEP250: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	64	22%
CEP72	CEP72: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	64	22%
BRIX1	BRIX1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	63	21%
CUL4A	CUL4A: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	63	21%
CRNKL1	CRNKL1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	63	21%
ATAD2	ATAD2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	61	21%
COPS7B	COPS7B: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	58	20%
CPSF1	CPSF1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	57	19%
DCAF13	DCAF13: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	57	19%
DHX35	DHX35: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	57	19%
ARF1	ARF1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	56	19%
CDC5L	CDC5L: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	56	19%
EP300	EP300: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	55	19%
CUL1	CUL1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	55	19%
GPATCH1	GPATCH1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	55	19%
COPA	COPA: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	53	18%
EAF2	EAF2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	51	17%
CENPL	CENPL: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	51	17%
CPSF2	CPSF2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	50	17%
CTDP1	CTDP1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	50	17%
EIF3E	EIF3E: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	49	16%
ARPC5	ARPC5: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	49	16%
CTNNBL1	CTNNBL1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	49	16%
DAP3	DAP3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	49	16%
CHEK1	CHEK1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	48	16%
BAP1	BAP1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	48	16%
DSN1	DSN1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	47	16%
BMS1	BMS1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	47	16%
CPSF4	CPSF4: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	45	15%
DDX42	DDX42: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	45	15%
FBXL12	FBXL12: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	15%
CPSF3	CPSF3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	15%
BAZ1B	BAZ1B: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	15%
CSNK1D	CSNK1D: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	15%
ANAPC13	ANAPC13: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	15%
DTL	DTL: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	15%
AP2A1	AP2A1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
COPG1	COPG1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
COPS5	COPS5: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
HAUS3	HAUS3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
HAUS5	HAUS5: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
CCAR2	CCAR2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
ELAVL1	ELAVL1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
FIP1L1	FIP1L1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
AHCY	AHCY: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
ANAPC2	ANAPC2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
BIRC3	BIRC3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
COPS8	COPS8: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
