Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
PIK3CA	PIK3CA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	183	59%
DVL3	DVL3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	161	52%
PIK3R4	PIK3R4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	108	35%
DGKG	DGKG: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	100	32%
PIK3CB	PIK3CB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	73	24%
AKT2	AKT2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	64	21%
PLCH1	PLCH1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	64	21%
AHSG	AHSG: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	63	20%
PIP5K1A	PIP5K1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	59	19%
ELMO2	ELMO2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	59	19%
PTEN	PTEN: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	58	19%
USF2	USF2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	54	17%
TRPC1	TRPC1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	51	17%
TRPC6	TRPC6: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	48	16%
MYO10	MYO10: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	47	15%
AKT3	AKT3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	46	15%
F8	F8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	14%
MAPK1	MAPK1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
AKT1	AKT1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
PIK3C3	PIK3C3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
CALM1	CALM1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	13%
SOS1	SOS1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	40	13%
YES1	YES1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	40	13%
WASF2	WASF2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	39	13%
IRAK1	IRAK1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	38	12%
SHC1	SHC1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	12%
ITPKC	ITPKC: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	12%
GNA13	GNA13: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	11%
JAK2	JAK2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	11%
CD86	CD86: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
DAGLB	DAGLB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
