Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZNF728		19p12	HOMDEL	1	129	0.8%	No
LINC01556		6p22.1	AMP	1	129	0.8%	No
SNX8		7p22.3	AMP	1	129	0.8%	No
NOL11		17q24.2	AMP	2	129	1.6%	No
PRR36		19p13.2	AMP	2	129	1.6%	No
CRELD2		22q13.33	AMP	1	129	0.8%	No
NAT2		8p22	HOMDEL	1	129	0.8%	No
TMEM38A		19p13.11	AMP	1	129	0.8%	No
GAGE12G		Xp11.23	AMP	1	129	0.8%	No
ALG1L2		3q22.1	AMP	10	129	7.8%	No
FNBP4		11p11.2	HOMDEL	1	129	0.8%	No
OXR1		8q23.1	AMP	1	129	0.8%	No
ATP4B		13q34	AMP	1	129	0.8%	No
WDFY3-AS2		4q21.23	HOMDEL	1	129	0.8%	No
SYTL2		11q14.1	AMP	2	129	1.6%	No
LINC01238		2q37.3	HOMDEL	4	129	3.1%	No
ALX3		1p13.3	HOMDEL	1	129	0.8%	No
RNASE10		14q11.2	AMP	1	129	0.8%	No
ALKBH3-AS1		11p11.2	HOMDEL	1	129	0.8%	No
PTCD1		7q22.1	AMP	1	129	0.8%	No
NSMF		9q34.3	HOMDEL	1	129	0.8%	No
EHBP1L1		11q13.1	AMP	1	129	0.8%	No
SNX10		7p15.2	AMP	1	129	0.8%	No
C9ORF64		9q21.32	HOMDEL	1	129	0.8%	No
ZNF556		19p13.3	AMP	2	129	1.6%	No
TSEN34		19q13.42	AMP	2	129	1.6%	No
OR2T29		1q44	AMP	1	129	0.8%	No
GAGE12D		Xp11.23	AMP	1	129	0.8%	No
KRTAP10-10		21q22.3	HOMDEL	1	129	0.8%	No
SMC1A		Xp11.22	HOMDEL	1	129	0.8%	Yes
ITIH1		3p21.1	HOMDEL	2	129	1.6%	No
MFSD6		2q32.2	AMP	1	129	0.8%	No
LINC02901		6q25.3	HOMDEL	1	129	0.8%	No
AK5		1p31.1	AMP	1	129	0.8%	No
SACS		13q12.12	HOMDEL	2	129	1.6%	No
DAZAP1		19p13.3	HOMDEL	4	129	3.1%	Yes
RSL1D1		16p13.13	AMP	4	129	3.1%	No
SYNC		1p35.1	AMP	1	129	0.8%	No
RGS5-AS1		1q23.3	AMP	4	129	3.1%	No
GSX2		4q12	AMP	1	129	0.8%	No
ZNF525		19q13.42	AMP	1	129	0.8%	No
TMEM69		1p34.1	AMP	1	129	0.8%	No
STRN4		19q13.32	AMP	1	129	0.8%	No
NANOS1		10q26.11	HOMDEL	1	129	0.8%	No
OGFRP1		22q13.2	HOMDEL	1	129	0.8%	No
ZNF512B		20q13.33	AMP	1	129	0.8%	No
TRIM64B		11q14.3	AMP	1	129	0.8%	No
ZBTB7A		19p13.3	HOMDEL	4	129	3.1%	Yes
KRTAP17-1		17q21.2	HOMDEL	1	129	0.8%	No
ARL4C		2q37.1	HOMDEL	2	129	1.6%	No
BIVM		13q33.1	AMP	1	129	0.8%	No
DICER1-AS1		14q32.13	AMP	2	129	1.6%	No
VSTM5		11q21	AMP	1	129	0.8%	No
LINC01372		7q11.21	AMP	2	129	1.6%	No
TRIM16		17p12	HOMDEL	1	129	0.8%	No
ZNF521		18q11.2	AMP	1	129	0.8%	Yes
ZNRD2-DT		11q13.1	AMP	1	129	0.8%	No
GNL2		1p34.3	AMP	1	129	0.8%	No
ZNF490		19p13.2-p13.13	AMP	1	129	0.8%	No
COMMD1		2p15	AMP	1	129	0.8%	No
ITPKB		1q42.12	HOMDEL	2	129	1.6%	No
CRTC1		19p13.11	HOMDEL	1	129	0.8%	Yes
ADA		20q13.12	AMP	1	129	0.8%	No
ZNF576		19q13.31	AMP	3	129	2.3%	No
F11-AS1		4q35.2	HOMDEL	2	129	1.6%	No
FBXL20		17q12	AMP	2	129	1.6%	No
PCOLCE-AS1		7q22.1	AMP	1	129	0.8%	No
KRTAP3-1		17q21.2	AMP	1	129	0.8%	No
DNAJB1		19p13.12	HOMDEL	1	129	0.8%	Yes
ABCC6		16p13.11	AMP	2	129	1.6%	No
SSX8P		Xp11.22	AMP	1	129	0.8%	No
LINC01954		2p25.1	AMP	1	129	0.8%	No
LCNL1		9q34.3	HOMDEL	2	129	1.6%	No
PRR21		2q37.3	HOMDEL	3	129	2.3%	No
UTP11		1p34.3	AMP	2	129	1.6%	No
KRT40		17q21.2	HOMDEL	1	129	0.8%	No
PKD1L1		7p12.3	AMP	2	129	1.6%	No
DHX33		17p13.2	HOMDEL	2	129	1.6%	No
SIDT1		3q13.2	AMP	8	129	6.2%	No
THEM5		1q21.3	AMP	4	129	3.1%	No
NKPD1		19q13.32	AMP	3	129	2.3%	No
THTPA		14q11.2	AMP	1	129	0.8%	No
LINC01882		18p11.21	AMP	2	129	1.6%	No
USP6		17p13.2	HOMDEL	2	129	1.6%	Yes
GTSF1L		20q13.12	AMP	1	129	0.8%	No
KRTAP1-5		17q21.2	AMP	1	129	0.8%	No
MUSTN1		3p21.1	HOMDEL	2	129	1.6%	No
ARAF		Xp11.3	AMP	1	129	0.8%	Yes
TIMM23B		10q11.23	HOMDEL	1	129	0.8%	No
GTF2F1		19p13.3	HOMDEL	3	129	2.3%	No
CCDC80		3q13.2	AMP	8	129	6.2%	No
SMR3B		4q13.3	HOMDEL	1	129	0.8%	No
ADAR		1q21.3	AMP	4	129	3.1%	No
IKBKB		8p11.21	HOMDEL	1	129	0.8%	Yes
CNKSR1		1p36.11	HOMDEL	1	129	0.8%	No
PPP1R37		19q13.32	AMP	3	129	2.3%	No
ZNF488		10q11.22	HOMDEL	1	129	0.8%	No
NUPR2		7p11.2	AMP	1	129	0.8%	No
RIIAD1		1q21.3	AMP	4	129	3.1%	No
OR7E24		19p13.2	HOMDEL	2	129	1.6%	No
ERLIN1		10q24.31	HOMDEL	1	129	0.8%	No
LINC01135		1p32.1	AMP	3	129	2.3%	No
HAPLN3		15q26.1	AMP	4	129	3.1%	No
PLAAT2		11q12.3	AMP	1	129	0.8%	No
ACOT11		1p32.3	AMP	2	129	1.6%	No
SSX6P		Xp11.23	AMP	1	129	0.8%	No
SOSTDC1		7p21.2	AMP	1	129	0.8%	No
LINC00313		21q22.3	HOMDEL	1	129	0.8%	No
MTMR7		8p22	HOMDEL	1	129	0.8%	No
LINC00111		21q22.3	HOMDEL	1	129	0.8%	No
CCM2L		20q11.21	AMP	7	129	5.4%	No
ADARB1		21q22.3	AMP	1	129	0.8%	No
CD99P1		Xp22.33 and Yp11.31	AMP	1	129	0.8%	No
CISH		3p21.2	HOMDEL	2	129	1.6%	No
PPP1R18		6p21.33	AMP	4	129	3.1%	No
TMEM45A		3q12.2	AMP	10	129	7.8%	No
KCTD15		19q13.11	AMP	3	129	2.3%	No
RAB4A		1q42.13	HOMDEL	2	129	1.6%	No
PHF8		Xp11.22	HOMDEL	1	129	0.8%	No
LINC01502		9q34.3	HOMDEL	1	129	0.8%	No
SLC35F6		2p23.3	AMP	2	129	1.6%	No
SPATA16		3q26.31	AMP	24	129	18.6%	No
CCDC163		1p34.1	AMP	1	129	0.8%	No
RTP2		3q27.3	AMP	22	129	17.1%	No
SSX7		Xp11.22	AMP	1	129	0.8%	No
ALK		2p23.2-p23.1	AMP	2	129	1.6%	Yes
UBE2Q2P1		15q25.2	AMP	4	129	3.1%	No
CHD5		1p36.31	HOMDEL	1	129	0.8%	No
SBDS		7q11.21	AMP	2	129	1.6%	Yes
BDNF		11p14.1	HOMDEL	1	129	0.8%	No
MRPL52		14q11.2	AMP	1	129	0.8%	No
CEP72-DT		5p15.33	AMP	7	129	5.4%	No
ZBTB18		1q44	AMP	1	129	0.8%	No
OR8G2P		11q24.2	HOMDEL	4	129	3.1%	No
SSX2IP		1p22.3	AMP	1	129	0.8%	No
COL4A5		Xq22.3	HOMDEL	1	129	0.8%	No
CELA3A		1p36.12	HOMDEL	1	129	0.8%	No
SAMD10		20q13.33	AMP	1	129	0.8%	No
HHEX		10q23.33	HOMDEL	1	129	0.8%	No
SLC25A17		22q13.2	AMP	2	129	1.6%	No
NARF		17q25.3	HOMDEL	1	129	0.8%	No
DDX39A		19p13.12	AMP	2	129	1.6%	No
FNDC1		6q25.3	HOMDEL	1	129	0.8%	No
OR7D2		19p13.2	HOMDEL	2	129	1.6%	No
GAGE2C		Xp11.23	AMP	1	129	0.8%	No
KRTAP16-1		17q21.2	HOMDEL	1	129	0.8%	No
TRIP6		7q22.1	AMP	1	129	0.8%	No
TOMM70		3q12.2	AMP	10	129	7.8%	No
DNASE2		19p13.13	HOMDEL	1	129	0.8%	No
DLGAP2		8p23.3	HOMDEL	2	129	1.6%	No
TNPO2		19p13.13	HOMDEL	1	129	0.8%	No
RABL6		9q34.3	HOMDEL	1	129	0.8%	No
KCNJ16		17q24.3	AMP	1	129	0.8%	No
TDRD10		1q21.3	AMP	4	129	3.1%	No
LRTM2		12p13.33	AMP	2	129	1.6%	No
CPT2		1p32.3	AMP	2	129	1.6%	No
BCAS1		20q13.2	AMP	1	129	0.8%	No
ADAM30		1p12	HOMDEL	1	129	0.8%	No
IBA57-DT		1q42.13	HOMDEL	2	129	1.6%	No
ABHD16B		20q13.33	AMP	1	129	0.8%	No
ADCY1		7p12.3	AMP	1	129	0.8%	No
KRTAP9-2		17q21.2	AMP	1	129	0.8%	No
LINC01620		20q13.12	AMP	1	129	0.8%	No
TMEM272		13q14.3	HOMDEL	1	129	0.8%	No
HDAC9		7p21.1	AMP	2	129	1.6%	No
SNHG18		5p15.31	AMP	6	129	4.7%	No
LSM10		1p34.3	AMP	1	129	0.8%	No
COX4I2		20q11.21	AMP	6	129	4.7%	No
DNAH14		1q42.12	AMP	1	129	0.8%	No
SNORD114-11		14q32.31	HOMDEL	1	129	0.8%	No
