Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	2	135	1.5%	No
RNA5SP217		6q22.33	HOMDEL	1	135	0.7%	No
TRAV5		14q11.2	AMP	4	135	3.0%	No
ZNF728		19p12	HOMDEL	2	135	1.5%	No
LINC01556		6p22.1	AMP	2	135	1.5%	No
MAPK9		5q35.3	HOMDEL	1	135	0.7%	No
RN7SL513P		19p13.11	HOMDEL	3	135	2.2%	No
CLCF1		11q13.2	AMP	3	135	2.2%	No
RPL39P5		3q22.2	AMP	9	135	6.7%	No
NOL11		17q24.2	AMP	3	135	2.2%	No
C20ORF27		20p13	AMP	1	135	0.7%	No
C11ORF53		11q23.1	AMP	1	135	0.7%	No
NAT2		8p22	HOMDEL	1	135	0.7%	No
GAGE12G		Xp11.23	AMP	1	135	0.7%	No
ERMN		2q24.1	AMP	1	135	0.7%	No
ALG1L2		3q22.1	AMP	6	135	4.4%	No
OXR1		8q23.1	AMP	5	135	3.7%	No
ATP4B	2.830e-4	13q34	AMP	3	135	2.2%	No
SYTL2		11q14.1	AMP	4	135	3.0%	No
ALX3	1.281e-2	1p13.3	HOMDEL	1	135	0.7%	No
ZNF862		7q36.1	AMP	1	135	0.7%	No
ZNF281		1q32.1	AMP	1	135	0.7%	No
GIMAP2		7q36.1	AMP	1	135	0.7%	No
TRAV4		14q11.2	AMP	4	135	3.0%	No
BROX		1q41	AMP	1	135	0.7%	No
HEY2		6q22.31	HOMDEL	1	135	0.7%	No
RNASE10		14q11.2	AMP	3	135	2.2%	No
PTCD1		7q22.1	AMP	2	135	1.5%	No
EHBP1L1		11q13.1	AMP	1	135	0.7%	No
SNX10		7p15.2	AMP	1	135	0.7%	No
C9ORF64		9q21.32	HOMDEL	1	135	0.7%	No
ZNF114	2.751e-2	19q13.33	HOMDEL	1	135	0.7%	No
ZNF556		19p13.3	AMP	2	135	1.5%	No
TSEN34		19q13.42	AMP	2	135	1.5%	No
YPEL2		17q22	HOMDEL	1	135	0.7%	No
OR2T29		1q44	AMP	2	135	1.5%	No
GAGE12D		Xp11.23	AMP	1	135	0.7%	No
CNOT6		5q35.3	AMP	1	135	0.7%	No
SMC1A		Xp11.22	HOMDEL	1	135	0.7%	Yes
RNY4	1.615e-3	7q36.1	HOMDEL	1	135	0.7%	No
ITIH1		3p21.1	HOMDEL	1	135	0.7%	No
MFSD6	1.296e-2	2q32.2	AMP	2	135	1.5%	No
LINC02901	9.848e-5	6q25.3	HOMDEL	2	135	1.5%	No
POT1	1.615e-3	7q31.33	HOMDEL	1	135	0.7%	Yes
TRBV30		7q34	AMP	1	135	0.7%	No
SACS	1.336e-9	13q12.12	HOMDEL	1	135	0.7%	No
DAZAP1		19p13.3	HOMDEL	6	135	4.4%	Yes
RSL1D1		16p13.13	AMP	2	135	1.5%	No
SYNC		1p35.1	AMP	1	135	0.7%	No
ZNF525		19q13.42	AMP	2	135	1.5%	No
TMEM69		1p34.1	AMP	1	135	0.7%	No
STRN4		19q13.32	AMP	2	135	1.5%	No
RNA5SP345		11q21	HOMDEL	1	135	0.7%	No
NANOS1		10q26.11	HOMDEL	1	135	0.7%	No
ZNF512B		20q13.33	AMP	3	135	2.2%	No
RNF31		14q12	AMP	1	135	0.7%	No
TRIM64B		11q14.3	AMP	2	135	1.5%	No
ZBTB7A		19p13.3	HOMDEL	3	135	2.2%	Yes
ARL4C	3.466e-41	2q37.1	HOMDEL	3	135	2.2%	No
BIVM	2.830e-4	13q33.1	AMP	3	135	2.2%	No
NAF1		4q32.2	HOMDEL	3	135	2.2%	No
CLGN		4q31.1	HOMDEL	2	135	1.5%	No
RMDN1		8q21.3	AMP	2	135	1.5%	No
BHMT2		5q14.1	HOMDEL	1	135	0.7%	No
TMEM131L		4q31.3	HOMDEL	3	135	2.2%	No
AR		Xq12	AMP	1	135	0.7%	Yes
CFHR5		1q31.3	AMP	1	135	0.7%	No
VSTM5		11q21	AMP	2	135	1.5%	No
TRIM16		17p12	HOMDEL	1	135	0.7%	No
ZNF521		18q11.2	AMP	1	135	0.7%	Yes
GNL2		1p34.3	AMP	1	135	0.7%	No
OR5P3	2.701e-2	11p15.4	HOMDEL	1	135	0.7%	No
ZNF490		19p13.2-p13.13	AMP	1	135	0.7%	No
ITPKB		1q42.12	HOMDEL	2	135	1.5%	No
CRTC1		19p13.11	HOMDEL	3	135	2.2%	Yes
ADA		20q13.12	AMP	1	135	0.7%	No
ZNF576		19q13.31	AMP	2	135	1.5%	No
RN7SL584P		15q11.1	AMP	1	135	0.7%	No
SHH	1.615e-3	7q36.3	HOMDEL	2	135	1.5%	No
TRBV28		7q34	AMP	1	135	0.7%	No
DNAJB1		19p13.12	HOMDEL	2	135	1.5%	Yes
ABCC6		16p13.11	AMP	1	135	0.7%	No
SCN10A		3p22.2	HOMDEL	1	135	0.7%	No
PRR21	3.466e-41	2q37.3	HOMDEL	5	135	3.7%	No
UTP11		1p34.3	AMP	2	135	1.5%	No
H3C1	4.670e-2	6p22.2	HOMDEL	1	135	0.7%	Yes
PKD1L1		7p12.3	AMP	1	135	0.7%	No
CNGB3		8q21.3	AMP	2	135	1.5%	No
FAM76B		11q21	HOMDEL	1	135	0.7%	No
SIDT1		3q13.2	AMP	3	135	2.2%	No
THEM5	3.200e-5	1q21.3	AMP	3	135	2.2%	No
NKPD1		19q13.32	AMP	2	135	1.5%	No
THTPA		14q11.2	AMP	2	135	1.5%	No
RNA5SP299		10p14	AMP	1	135	0.7%	No
CDK6		7q21.2	HOMDEL	1	135	0.7%	Yes
HMGN4		6p22.2	AMP	2	135	1.5%	No
GTSF1L		20q13.12	AMP	2	135	1.5%	No
TRBV19	1.615e-3	7q34	HOMDEL	1	135	0.7%	No
MOGAT2		11q13.5	AMP	1	135	0.7%	No
RNA5SP179		5p15.1	AMP	5	135	3.7%	No
MUSTN1		3p21.1	HOMDEL	1	135	0.7%	No
ARAF		Xp11.3	AMP	1	135	0.7%	Yes
TRIM38		6p22.2	AMP	1	135	0.7%	No
TIMM23B		10q11.23	HOMDEL	1	135	0.7%	No
GTF2F1		19p13.3	HOMDEL	3	135	2.2%	No
CCDC80		3q13.2	AMP	3	135	2.2%	No
ADAR	3.200e-5	1q21.3	AMP	3	135	2.2%	No
WDR45B		17q25.3	AMP	1	135	0.7%	No
CNKSR1	2.952e-4	1p36.11	HOMDEL	1	135	0.7%	No
PPP1R37		19q13.32	AMP	2	135	1.5%	No
RN7SKP62		5q21.1	HOMDEL	1	135	0.7%	No
ZNF488		10q11.22	HOMDEL	1	135	0.7%	No
NUPR2		7p11.2	AMP	1	135	0.7%	No
RN7SKP3	2.168e-19	13q14.12	HOMDEL	1	135	0.7%	No
RIIAD1	3.200e-5	1q21.3	AMP	3	135	2.2%	No
OR7E24		19p13.2	HOMDEL	3	135	2.2%	No
ERLIN1		10q24.31	HOMDEL	1	135	0.7%	No
HAPLN3	5.804e-3	15q26.1	AMP	1	135	0.7%	No
CXORF49B		Xq13.1	HOMDEL	1	135	0.7%	No
PLAAT2		11q12.3	AMP	1	135	0.7%	No
RNA5SP178		5p15.1	AMP	5	135	3.7%	No
ACOT11		1p32.3	AMP	1	135	0.7%	No
SSX6P		Xp11.23	AMP	1	135	0.7%	No
TTC29		4q31.22	AMP	1	135	0.7%	No
TRAV7		14q11.2	AMP	4	135	3.0%	No
BEX4		Xq22.1	AMP	1	135	0.7%	No
RNA5SP189		5q21.3	HOMDEL	1	135	0.7%	No
MTMR7		8p22	HOMDEL	1	135	0.7%	No
CCM2L		20q11.21	AMP	6	135	4.4%	No
ADARB1		21q22.3	AMP	2	135	1.5%	No
CD99P1		Xp22.33 and Yp11.31	AMP	1	135	0.7%	No
CISH		3p21.2	HOMDEL	1	135	0.7%	No
LINC00616		4q28.3	HOMDEL	2	135	1.5%	No
PPP1R18		6p21.33	AMP	5	135	3.7%	No
TMEM45A		3q12.2	AMP	3	135	2.2%	No
RAB3IP		12q15	AMP	1	135	0.7%	No
KCTD15		19q13.11	AMP	3	135	2.2%	No
RAB4A		1q42.13	HOMDEL	2	135	1.5%	No
RNA5SP181		5p13.2	AMP	7	135	5.2%	No
PFDN6		6p21.32	AMP	1	135	0.7%	No
HEXB		5q13.3	HOMDEL	1	135	0.7%	No
RNA5SP76		1q41	AMP	1	135	0.7%	No
RNA5SP301		10p13	AMP	1	135	0.7%	No
PHF8		Xp11.22	HOMDEL	1	135	0.7%	No
ZNF737		19p12	AMP	1	135	0.7%	No
ESRP1		8q22.1	AMP	3	135	2.2%	No
SLC35F6	9.994e-2	2p23.3	AMP	4	135	3.0%	No
SPATA16		3q26.31	AMP	22	135	16.3%	No
CCDC163		1p34.1	AMP	1	135	0.7%	No
RTP2		3q27.3	AMP	24	135	17.8%	No
PLK4		4q28.1	HOMDEL	1	135	0.7%	No
SNORA73B	2.952e-4	1p35.3	HOMDEL	1	135	0.7%	No
SSX7		Xp11.22	AMP	1	135	0.7%	No
THAP10		15q23	HOMDEL	1	135	0.7%	No
ADARB2		10p15.3	AMP	1	135	0.7%	No
ALK	9.994e-2	2p23.2-p23.1	AMP	4	135	3.0%	Yes
UBE2Q2P1	5.804e-3	15q25.2	AMP	1	135	0.7%	No
NAALAD2		11q14.3	HOMDEL	1	135	0.7%	No
CHD5	2.952e-4	1p36.31	HOMDEL	3	135	2.2%	No
SBDS		7q11.21	AMP	2	135	1.5%	Yes
BDNF	2.701e-2	11p14.1	HOMDEL	1	135	0.7%	No
ABHD18		4q28.2	AMP	1	135	0.7%	No
CSRNP3		2q24.3	AMP	2	135	1.5%	No
MRPL52		14q11.2	AMP	3	135	2.2%	No
UACA		15q23	AMP	1	135	0.7%	No
ZBTB18		1q44	AMP	2	135	1.5%	No
C12ORF56		12q14.2	AMP	1	135	0.7%	No
RNA5SP300		10p13	AMP	1	135	0.7%	No
RNA5SP180		5p15.1	AMP	5	135	3.7%	No
COL4A5		Xq22.3	HOMDEL	1	135	0.7%	No
CELA3A	2.952e-4	1p36.12	HOMDEL	1	135	0.7%	No
PSMG4		6p25.2	AMP	1	135	0.7%	No
RAP1B		12q15	AMP	1	135	0.7%	No
SAMD10		20q13.33	AMP	3	135	2.2%	No
HHEX		10q23.33	HOMDEL	1	135	0.7%	No
TRDN		6q22.31	AMP	1	135	0.7%	No
RNA5SP305		10p12.1	AMP	1	135	0.7%	No
CCDC105		19p13.12	AMP	1	135	0.7%	No
SLC25A17		22q13.2	AMP	1	135	0.7%	No
DDX39A		19p13.12	AMP	2	135	1.5%	No
FNDC1	9.848e-5	6q25.3	HOMDEL	2	135	1.5%	No
OR7D2		19p13.2	HOMDEL	3	135	2.2%	No
GAGE2C		Xp11.23	AMP	1	135	0.7%	No
TRIP6		7q22.1	AMP	2	135	1.5%	No
TOMM70		3q12.2	AMP	3	135	2.2%	No
TBC1D3P5		17q11.2	HOMDEL	1	135	0.7%	No
SCGN	4.670e-2	6p22.2	HOMDEL	1	135	0.7%	No
CX3CR1		3p22.2	HOMDEL	1	135	0.7%	No
DNASE2		19p13.13	HOMDEL	2	135	1.5%	No
DLGAP2		8p23.3	HOMDEL	2	135	1.5%	No
RNA5SP78		1q42.13	AMP	2	135	1.5%	No
TNPO2		19p13.13	HOMDEL	2	135	1.5%	No
KCNJ16		17q24.3	AMP	3	135	2.2%	No
TDRD10	3.200e-5	1q21.3	AMP	3	135	2.2%	No
LRTM2		12p13.33	AMP	2	135	1.5%	No
RNA5SP183		5q11.2	AMP	1	135	0.7%	No
CPT2		1p32.3	AMP	1	135	0.7%	No
RN7SL491P		19q13.12	AMP	3	135	2.2%	No
RN7SL16P		4p15.2	HOMDEL	1	135	0.7%	No
BCAS1		20q13.2	AMP	3	135	2.2%	No
ADAM30	1.281e-2	1p12	HOMDEL	1	135	0.7%	No
RN7SL716P		17q22	HOMDEL	1	135	0.7%	No
SLC9A6		Xq26.3	AMP	3	135	2.2%	No
IBA57-DT		1q42.13	HOMDEL	2	135	1.5%	No
PSMD14		2q24.2	AMP	1	135	0.7%	No
RNA5SP304		10p12.2	AMP	1	135	0.7%	No
PDIA4		7q36.1	AMP	1	135	0.7%	No
