Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	2	133	1.5%	No
ZNF728		19p12	HOMDEL	2	133	1.5%	No
MAPK9		5q35.3	HOMDEL	1	133	0.8%	No
NGFR-AS1		17q21.33	AMP	1	133	0.8%	No
CLCF1		11q13.2	AMP	3	133	2.3%	No
NOL11		17q24.2	AMP	2	133	1.5%	No
C20ORF27		20p13	AMP	1	133	0.8%	No
PRR36		19p13.2	AMP	2	133	1.5%	No
C11ORF53		11q23.1	AMP	1	133	0.8%	No
NAT2		8p22	HOMDEL	1	133	0.8%	No
GAGE12G		Xp11.23	AMP	1	133	0.8%	No
LINC02075		17q21.33	AMP	1	133	0.8%	No
ALG1L2		3q22.1	AMP	5	133	3.8%	No
OXR1		8q23.1	AMP	3	133	2.3%	No
ATP4B		13q34	AMP	1	133	0.8%	No
SYTL2		11q14.1	AMP	3	133	2.3%	No
LINC01238		2q37.3	HOMDEL	5	133	3.8%	No
ALX3		1p13.3	HOMDEL	1	133	0.8%	No
LINC01227		16q23.2	HOMDEL	1	133	0.8%	No
ZNF281		1q32.1	AMP	1	133	0.8%	No
BROX		1q41	AMP	1	133	0.8%	No
RNASE10		14q11.2	AMP	2	133	1.5%	No
PTCD1		7q22.1	AMP	1	133	0.8%	No
EHBP1L1		11q13.1	AMP	1	133	0.8%	No
SNX10		7p15.2	AMP	1	133	0.8%	No
C9ORF64		9q21.32	HOMDEL	1	133	0.8%	No
ZNF114		19q13.33	HOMDEL	1	133	0.8%	No
ZNF556		19p13.3	AMP	2	133	1.5%	No
TSEN34		19q13.42	AMP	1	133	0.8%	No
YPEL2		17q22	HOMDEL	1	133	0.8%	No
OR2T29		1q44	AMP	1	133	0.8%	No
GAGE12D		Xp11.23	AMP	1	133	0.8%	No
KRTAP10-10		21q22.3	HOMDEL	1	133	0.8%	No
CNOT6		5q35.3	AMP	1	133	0.8%	No
SMC1A		Xp11.22	HOMDEL	1	133	0.8%	Yes
MIR3945HG		4q35.1	HOMDEL	3	133	2.3%	No
MFSD6		2q32.2	AMP	1	133	0.8%	No
SACS		13q12.12	HOMDEL	1	133	0.8%	No
DAZAP1		19p13.3	HOMDEL	4	133	3.0%	Yes
PWAR5		15q11.2	HOMDEL	1	133	0.8%	No
RSL1D1		16p13.13	AMP	1	133	0.8%	No
RGS5-AS1		1q23.3	AMP	1	133	0.8%	No
ZNF525		19q13.42	AMP	1	133	0.8%	No
STRN4		19q13.32	AMP	1	133	0.8%	No
NANOS1		10q26.11	HOMDEL	1	133	0.8%	No
OGFRP1		22q13.2	HOMDEL	1	133	0.8%	No
ZNF512B		20q13.33	AMP	3	133	2.3%	No
TRIM64B		11q14.3	AMP	2	133	1.5%	No
ZBTB7A		19p13.3	HOMDEL	3	133	2.3%	Yes
ARL4C		2q37.1	HOMDEL	3	133	2.3%	No
BIVM		13q33.1	AMP	1	133	0.8%	No
NAF1		4q32.2	HOMDEL	2	133	1.5%	No
CLGN		4q31.1	HOMDEL	1	133	0.8%	No
DICER1-AS1		14q32.13	AMP	2	133	1.5%	No
TMED6		16q22.1	HOMDEL	1	133	0.8%	No
RMDN1		8q21.3	AMP	1	133	0.8%	No
TMEM131L		4q31.3	HOMDEL	2	133	1.5%	No
AR		Xq12	AMP	1	133	0.8%	Yes
CFHR5		1q31.3	AMP	1	133	0.8%	No
VSTM5		11q21	AMP	2	133	1.5%	No
LINC01372		7q11.21	AMP	2	133	1.5%	No
TRIM16		17p12	HOMDEL	3	133	2.3%	No
ZNF521		18q11.2	AMP	1	133	0.8%	Yes
ZNRD2-DT		11q13.1	AMP	1	133	0.8%	No
OR5P3		11p15.4	HOMDEL	1	133	0.8%	No
ZNF490		19p13.2-p13.13	AMP	1	133	0.8%	No
ITPKB		1q42.12	HOMDEL	2	133	1.5%	No
CRTC1		19p13.11	HOMDEL	2	133	1.5%	Yes
ADA		20q13.12	AMP	2	133	1.5%	No
ZNF576		19q13.31	AMP	1	133	0.8%	No
F11-AS1		4q35.2	HOMDEL	7	133	5.3%	No
SHH		7q36.3	HOMDEL	1	133	0.8%	No
PCOLCE-AS1		7q22.1	AMP	1	133	0.8%	No
SSTR5-AS1		16p13.3	HOMDEL	1	133	0.8%	No
DNAJB1		19p13.12	HOMDEL	1	133	0.8%	Yes
ABCC6		16p13.11	AMP	1	133	0.8%	No
SSX8P		Xp11.22	AMP	1	133	0.8%	No
LINC01954		2p25.1	AMP	2	133	1.5%	No
PRR21		2q37.3	HOMDEL	5	133	3.8%	No
UTP11		1p34.3	AMP	1	133	0.8%	No
H3C1		6p22.2	HOMDEL	1	133	0.8%	Yes
DHX33		17p13.2	HOMDEL	2	133	1.5%	No
CNGB3		8q21.3	AMP	1	133	0.8%	No
SIDT1		3q13.2	AMP	5	133	3.8%	No
THEM5		1q21.3	AMP	2	133	1.5%	No
NKPD1		19q13.32	AMP	1	133	0.8%	No
THTPA		14q11.2	AMP	1	133	0.8%	No
LINC01882		18p11.21	AMP	2	133	1.5%	No
USP6		17p13.2	HOMDEL	2	133	1.5%	Yes
SCOC-AS1		4q31.1	HOMDEL	1	133	0.8%	No
GTSF1L		20q13.12	AMP	2	133	1.5%	No
MOGAT2		11q13.5	AMP	1	133	0.8%	No
ARAF		Xp11.3	AMP	1	133	0.8%	Yes
TIMM23B		10q11.23	HOMDEL	1	133	0.8%	No
GTF2F1		19p13.3	HOMDEL	3	133	2.3%	No
CCDC80		3q13.2	AMP	5	133	3.8%	No
ADAR		1q21.3	AMP	2	133	1.5%	No
CNKSR1		1p36.11	HOMDEL	1	133	0.8%	No
PPP1R37		19q13.32	AMP	1	133	0.8%	No
ZNF488		10q11.22	HOMDEL	1	133	0.8%	No
NUPR2		7p11.2	AMP	1	133	0.8%	No
SNORD116-17		15q11.2	HOMDEL	1	133	0.8%	No
RIIAD1		1q21.3	AMP	2	133	1.5%	No
OR7E24		19p13.2	HOMDEL	2	133	1.5%	No
ERLIN1		10q24.31	HOMDEL	1	133	0.8%	No
LINC01135		1p32.1	AMP	2	133	1.5%	No
PLAAT2		11q12.3	AMP	1	133	0.8%	No
SSX6P		Xp11.23	AMP	1	133	0.8%	No
BEX4		Xq22.1	AMP	1	133	0.8%	No
MTMR7		8p22	HOMDEL	1	133	0.8%	No
CCM2L		20q11.21	AMP	6	133	4.5%	No
ADARB1		21q22.3	AMP	2	133	1.5%	No
CD99P1		Xp22.33 and Yp11.31	AMP	1	133	0.8%	No
LINC00616		4q28.3	HOMDEL	1	133	0.8%	No
PPP1R18		6p21.33	AMP	3	133	2.3%	No
TMEM45A		3q12.2	AMP	5	133	3.8%	No
KCTD15		19q13.11	AMP	3	133	2.3%	No
RAB4A		1q42.13	HOMDEL	2	133	1.5%	No
PHF8		Xp11.22	HOMDEL	1	133	0.8%	No
ESRP1		8q22.1	AMP	1	133	0.8%	No
SLC35F6		2p23.3	AMP	3	133	2.3%	No
SPATA16		3q26.31	AMP	19	133	14.3%	No
RTP2		3q27.3	AMP	20	133	15.0%	No
SSX7		Xp11.22	AMP	1	133	0.8%	No
ALK		2p23.2-p23.1	AMP	3	133	2.3%	Yes
CHD5		1p36.31	HOMDEL	2	133	1.5%	No
SBDS		7q11.21	AMP	2	133	1.5%	Yes
BDNF		11p14.1	HOMDEL	1	133	0.8%	No
CSRNP3		2q24.3	AMP	1	133	0.8%	No
MRPL52		14q11.2	AMP	1	133	0.8%	No
CEP72-DT		5p15.33	AMP	7	133	5.3%	No
ZBTB18		1q44	AMP	1	133	0.8%	No
NKX6-2		10q26.3	HOMDEL	1	133	0.8%	No
OR8G2P		11q24.2	HOMDEL	4	133	3.0%	No
COL4A5		Xq22.3	HOMDEL	1	133	0.8%	No
CELA3A		1p36.12	HOMDEL	1	133	0.8%	No
SAMD10		20q13.33	AMP	3	133	2.3%	No
HHEX		10q23.33	HOMDEL	1	133	0.8%	No
SLC25A17		22q13.2	AMP	1	133	0.8%	No
DDX39A		19p13.12	AMP	2	133	1.5%	No
OR7D2		19p13.2	HOMDEL	2	133	1.5%	No
GAGE2C		Xp11.23	AMP	1	133	0.8%	No
TRIP6		7q22.1	AMP	1	133	0.8%	No
TOMM70		3q12.2	AMP	5	133	3.8%	No
TBC1D3P5		17q11.2	HOMDEL	1	133	0.8%	No
SCGN		6p22.2	HOMDEL	1	133	0.8%	No
DNASE2		19p13.13	HOMDEL	1	133	0.8%	No
DLGAP2		8p23.3	HOMDEL	2	133	1.5%	No
TNPO2		19p13.13	HOMDEL	1	133	0.8%	No
KCNJ16		17q24.3	AMP	2	133	1.5%	No
TDRD10		1q21.3	AMP	2	133	1.5%	No
LRTM2		12p13.33	AMP	2	133	1.5%	No
BCAS1		20q13.2	AMP	3	133	2.3%	No
ADAM30		1p12	HOMDEL	1	133	0.8%	No
SLC9A6		Xq26.3	AMP	3	133	2.3%	No
IBA57-DT		1q42.13	HOMDEL	2	133	1.5%	No
ABHD16B		20q13.33	AMP	3	133	2.3%	No
LINC01620		20q13.12	AMP	2	133	1.5%	No
TMEM272		13q14.3	HOMDEL	2	133	1.5%	No
SNHG18		5p15.31	AMP	6	133	4.5%	No
COX4I2		20q11.21	AMP	6	133	4.5%	No
DNAH14		1q42.12	AMP	2	133	1.5%	No
SNORD114-11		14q32.31	HOMDEL	1	133	0.8%	No
FAM110D		1p36.11	HOMDEL	1	133	0.8%	No
RAB12		18p11.22	AMP	1	133	0.8%	No
C8ORF48		8p22	HOMDEL	1	133	0.8%	No
ABCC2		10q24.2	AMP	1	133	0.8%	No
KCNJ15		21q22.13-q22.2	AMP	1	133	0.8%	No
NECAP2		1p36.13	HOMDEL	1	133	0.8%	No
PSMB11		14q11.2	AMP	1	133	0.8%	No
TNFSF11		13q14	HOMDEL	1	133	0.8%	No
SOX14		3q22.3	AMP	7	133	5.3%	No
TMEM205		19p13.2	AMP	1	133	0.8%	No
ATP5PD		17q25.1	AMP	3	133	2.3%	No
COX16		14q24.2	AMP	1	133	0.8%	No
ATRAID		2p23.3	AMP	3	133	2.3%	No
DPEP2NB		16q22.1	HOMDEL	1	133	0.8%	No
FZD4-DT		11q14.2	HOMDEL	1	133	0.8%	No
PATE3		11q24.2	HOMDEL	4	133	3.0%	No
ADCY2		5p15.31	AMP	6	133	4.5%	No
MBTPS1		16q23.3-q24.1	HOMDEL	1	133	0.8%	No
ZNF598		16p13.3	AMP	1	133	0.8%	No
FRG2EP		20q11.1	AMP	1	133	0.8%	No
PNMA6A		Xq28	AMP	5	133	3.8%	No
CPT1A		11q13.3	AMP	3	133	2.3%	No
TFG		3q12.2	AMP	5	133	3.8%	Yes
SRPX		Xp11.4	AMP	1	133	0.8%	No
AKAP11		13q14.11	HOMDEL	1	133	0.8%	No
MRPS17		7p11.2	AMP	1	133	0.8%	No
FLOT1		6p21.33	AMP	3	133	2.3%	No
CCL26		7q11.23	AMP	2	133	1.5%	No
UBE2E3		2q31.3	AMP	1	133	0.8%	No
SETDB1		1q21.3	AMP	2	133	1.5%	Yes
NFE2L3		7p15.2	AMP	1	133	0.8%	No
SNORD116-4		15q11.2	HOMDEL	1	133	0.8%	No
ADCY3		2p23.3	AMP	3	133	2.3%	No
TOX2		20q13.12	AMP	2	133	1.5%	No
KIFC3		16q21	HOMDEL	1	133	0.8%	No
LARGE1		22q12.3	HOMDEL	1	133	0.8%	No
PRSS23		11q14.2	HOMDEL	1	133	0.8%	No
DLGAP1-AS3		18p11.31	AMP	3	133	2.3%	No
SPOP		17q21.33	AMP	1	133	0.8%	Yes
KCNJ14		19q13.33	AMP	1	133	0.8%	No
BARX2		11q24.3	AMP	1	133	0.8%	No
ABCA10		17q24.3	AMP	3	133	2.3%	No
TRABD2A		2p11.2	AMP	1	133	0.8%	No
LINC00311		16q24.1	HOMDEL	1	133	0.8%	No
ATP6V1FNB		7q32.1	AMP	1	133	0.8%	No
PRG4		1q31.1	AMP	1	133	0.8%	No
LACTB2		8q13.3	AMP	1	133	0.8%	No
TEX47		7q21.13	AMP	2	133	1.5%	No
C11ORF68		11q13.1	AMP	1	133	0.8%	No
PLOD1		1p36.22	HOMDEL	1	133	0.8%	No
CXORF38		Xp11.4	AMP	1	133	0.8%	No
GUSBP4		6p11.2	HOMDEL	1	133	0.8%	No
CFAP74		1p36.33	HOMDEL	2	133	1.5%	No
SLC39A14		8p21.3	HOMDEL	1	133	0.8%	No
PRR15L		17q21.32	AMP	1	133	0.8%	No
AJUBA		14q11.2	AMP	1	133	0.8%	Yes
FGF14		13q33.1	HOMDEL	1	133	0.8%	Yes
TAGLN2		1q23.2	AMP	1	133	0.8%	No
ZNF461		19q13.13	AMP	2	133	1.5%	No
NKX6-3		8p11.21	AMP	1	133	0.8%	No
GAD1		2q31.1	AMP	1	133	0.8%	No
GSC		14q32.13	HOMDEL	1	133	0.8%	No
CCP110		16p12.3	AMP	1	133	0.8%	No
PTOV1-AS1		19q13.33	AMP	1	133	0.8%	No
ID2-AS1		2p25.1	AMP	2	133	1.5%	No
PPP4R3A		14q32.12	HOMDEL	1	133	0.8%	No
RBM42		19q13.12	AMP	3	133	2.3%	No
SORBS2		4q35.1	HOMDEL	4	133	3.0%	No
ADTRP		6p24.1	AMP	1	133	0.8%	No
ABCA7		19p13.3	AMP	1	133	0.8%	No
ZSWIM3		20q13.12	AMP	2	133	1.5%	No
C19ORF12		19q12	AMP	3	133	2.3%	No
SSX3		Xp11.23	AMP	1	133	0.8%	No
TRAPPC12		2p25.3	AMP	2	133	1.5%	No
ZNF674-AS1		Xp11.3	HOMDEL	1	133	0.8%	No
ALKBH6		19q13.12	AMP	3	133	2.3%	No
ZNF251		8q24.3	AMP	5	133	3.8%	No
TRIP10		19p13.3	HOMDEL	3	133	2.3%	No
USP17L19		4p16.1	AMP	1	133	0.8%	No
NFATC3		16q22.1	HOMDEL	1	133	0.8%	No
CENPO		2p23.3	AMP	3	133	2.3%	No
CPN2		3q29	AMP	20	133	15.0%	No
ACTG1P20		1p36.11	HOMDEL	1	133	0.8%	No
UXT		Xp11.23	AMP	1	133	0.8%	No
UCHL5		1q31.2	AMP	1	133	0.8%	No
ZNF585B		19q13.12	AMP	2	133	1.5%	No
LINC01020		5p15.32	AMP	6	133	4.5%	No
WFDC10A		20q13.12	AMP	2	133	1.5%	No
NHLRC3		13q13.3	HOMDEL	1	133	0.8%	No
KMT5B		11q13.2	AMP	3	133	2.3%	No
MYO1D		17q11.2	HOMDEL	1	133	0.8%	No
LRIF1		1p13.3	HOMDEL	1	133	0.8%	No
LINC01990		3q13.12	AMP	4	133	3.0%	No
CEMP1		16p13.3	AMP	1	133	0.8%	No
SPAG16-DT		2q34	HOMDEL	2	133	1.5%	No
ANKRD36BP1		1q24.2	AMP	1	133	0.8%	No
BRME1		19p13.12	AMP	2	133	1.5%	No
LINC00989		4q21.21	AMP	1	133	0.8%	No
ASPM		1q31.3	AMP	1	133	0.8%	No
GLB1L		2q35	HOMDEL	2	133	1.5%	No
SHE		1q21.3	AMP	2	133	1.5%	No
CPOX		3q11.2	AMP	5	133	3.8%	No
PPP1R3C		10q23.32	HOMDEL	1	133	0.8%	No
TTC39C-AS1		18q11.2	AMP	1	133	0.8%	No
LCE3A		1q21.3	AMP	2	133	1.5%	No
INF2		14q32.33	AMP	1	133	0.8%	No
ZNF699		19p13.2	AMP	2	133	1.5%	No
RPL8		8q24.3	AMP	5	133	3.8%	No
ZNF492		19p12	HOMDEL	2	133	1.5%	No
PCSK1N		Xp11.23	HOMDEL	1	133	0.8%	No
