Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
CSTF1	CSTF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	154	24%
CPNE1	CPNE1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	141	22%
CTNNBL1	CTNNBL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	124	20%
DHX35	DHX35: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	123	19%
CEP250	CEP250: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	102	16%
AHCY	AHCY: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	101	16%
COMMD7	COMMD7: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	95	15%
COPS5	COPS5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	94	15%
EIF4A1	EIF4A1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	92	15%
ERCC5	ERCC5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	87	14%
CRNKL1	CRNKL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	85	13%
DSN1	DSN1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	84	13%
CUL4A	CUL4A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	80	13%
DCTN6	DCTN6: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	80	13%
DCAF13	DCAF13: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	77	12%
COPS3	COPS3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	74	12%
EIF3E	EIF3E: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	73	12%
CCAR2	CCAR2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	73	12%
GTF2F2	GTF2F2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	72	11%
CTDP1	CTDP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	65	10%
CXXC1	CXXC1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	64	10%
BORA	BORA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	63	10%
CEP192	CEP192: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	62	10%
AGO2	AGO2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	59	9%
ATM	ATM: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	59	9%
ASH2L	ASH2L: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	58	9%
FBXO32	FBXO32: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	57	9%
EXOSC8	EXOSC8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	56	9%
COMMD5	COMMD5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	56	9%
ATAD2	ATAD2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	54	9%
CPSF1	CPSF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	53	8%
CHRNA2	CHRNA2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	53	8%
COMMD6	COMMD6: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	53	8%
ESR1	ESR1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	49	8%
FN1	FN1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	49	8%
CCNB1	CCNB1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	49	8%
GABARAP	GABARAP: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	49	8%
EIF4G1	EIF4G1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	47	7%
AKT3	AKT3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	47	7%
BAP1	BAP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	47	7%
DVL2	DVL2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	46	7%
CHEK1	CHEK1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	45	7%
FBXL3	FBXL3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	45	7%
EEF2	EEF2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	7%
CHRNB3	CHRNB3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	7%
AQR	AQR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	7%
FARP1	FARP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	7%
DCUN1D2	DCUN1D2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	7%
AXL	AXL: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	6%
ERLIN2	ERLIN2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	6%
BUB1B	BUB1B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	40	6%
CENPU	CENPU: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	38	6%
CHD4	CHD4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	37	6%
CUL1	CUL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	37	6%
COPS2	COPS2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	6%
DDX47	DDX47: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	6%
ANK3	ANK3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	6%
AURKAIP1	AURKAIP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	6%
CDK12	CDK12: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	6%
H2AZ2	H2AZ2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	6%
CDC40	CDC40: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	6%
CWC25	CWC25: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	6%
CLTC	CLTC: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	5%
ASB5	ASB5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	5%
CPSF4	CPSF4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	5%
ANXA1	ANXA1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	5%
DYNC1H1	DYNC1H1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	5%
EIF3B	EIF3B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	5%
CHD3	CHD3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	5%
DDX52	DDX52: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	5%
HAUS6	HAUS6: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	5%
CENPS	CENPS: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	5%
BLM	BLM: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	5%
HAUS2	HAUS2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	5%
CDC6	CDC6: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	5%
FRG1	FRG1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	5%
CACNA1E	CACNA1E: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	5%
CASC3	CASC3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	5%
CLTA	CLTA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	5%
CCT8	CCT8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	5%
EFTUD2	EFTUD2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	5%
EIF2S1	EIF2S1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	5%
CAND1	CAND1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	5%
DNMBP	DNMBP: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	5%
ERAL1	ERAL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	5%
BUD13	BUD13: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	5%
CEP290	CEP290: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	5%
ARPC1A	ARPC1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	5%
CDK1	CDK1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	5%
COPA	COPA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	5%
BRIX1	BRIX1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	5%
DCTN2	DCTN2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	5%
CWC27	CWC27: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	5%
COMMD4	COMMD4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	5%
DHX38	DHX38: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	4%
CEP72	CEP72: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	4%
EIF3L	EIF3L: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	4%
BRPF1	BRPF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	4%
AHCTF1	AHCTF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	4%
CPSF2	CPSF2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	4%
AMPD2	AMPD2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	4%
CDC5L	CDC5L: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	4%
EP300	EP300: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	4%
EIF3D	EIF3D: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	4%
ACIN1	ACIN1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	4%
GTF2F1	GTF2F1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	4%
FTSJ3	FTSJ3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	4%
