Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
TP53	TP53: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	165	26%
SNAI1	SNAI1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	91	14%
HCK	HCK: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	90	14%
PLCG1	PLCG1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	87	14%
ELMO2	ELMO2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	85	13%
PIK3C3	PIK3C3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	84	13%
ZMYM2	ZMYM2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	73	12%
TUBB1	TUBB1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	69	11%
NRG1	NRG1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	69	11%
WASF3	WASF3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	69	11%
FLT3	FLT3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	65	10%
PIK3CA	PIK3CA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	63	10%
PROCR	PROCR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	58	9%
AKT2	AKT2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	55	9%
MAPK1	MAPK1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	54	9%
DGKH	DGKH: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	54	9%
DVL3	DVL3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	53	8%
FGF20	FGF20: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	53	8%
BLK	BLK: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	52	8%
PTEN	PTEN: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	51	8%
FGF17	FGF17: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	51	8%
C1QBP	C1QBP: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	50	8%
SYK	SYK: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	50	8%
TRPC4	TRPC4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	50	8%
BAG4	BAG4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	49	8%
JAK2	JAK2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	48	8%
PRKCA	PRKCA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	48	8%
FGF9	FGF9: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	48	8%
FGFR1	FGFR1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	47	7%
AKT3	AKT3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	47	7%
DVL2	DVL2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	46	7%
MET	MET: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	46	7%
KDR	KDR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	45	7%
ERBB3	ERBB3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	44	7%
PIK3R1	PIK3R1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	43	7%
AKT1	AKT1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	6%
CYFIP1	CYFIP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	6%
AXL	AXL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	6%
ERLIN2	ERLIN2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	6%
PIK3R2	PIK3R2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	40	6%
KL	KL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	39	6%
DPP4	DPP4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	38	6%
