dataset	pathogen	cell_line	Bait	Prey	PreyGeneName	MIST	MIST_origin	In.Published.Interactome_HEK293T
HIV-HEK293T	HIV	HEK293T	GAG	Q9Y6V7	DDX49	0.69113	0.8236	1
HIV-HEK293T	HIV	HEK293T	GAG	Q9HD40	SEPSECS	0.677865	0.8144	1
HIV-HEK293T	HIV	HEK293T	GAG	Q9Y2W1	THRAP3	0.668685	0.8067	1
HIV-HEK293T	HIV	HEK293T	GAG	Q9NTK5	OLA1	0.62413	0.7773	1
HIV-HEK293T	HIV	HEK293T	GAG	Q96I25	RBM17	0.622065	0.7648	1
HIV-HEK293T	HIV	HEK293T	GAG	P19525	EIF2AK2	0.60773	0.7659	1
HIV-HEK293T	HIV	HEK293T	GAG	Q99873	PRMT1	0.596435	0.7581	1
HIV-HEK293T	HIV	HEK293T	GAG	Q9Y6Y0	IVNS1ABP	0.59065	0.753	1
HIV-HEK293T	HIV	HEK293T	GP120	Q9UBS4	DNAJB11	0.90169	0.9584	1
HIV-HEK293T	HIV	HEK293T	GP120	Q14697	GANAB	0.860225	0.9085	1
HIV-HEK293T	HIV	HEK293T	GP120	Q9HCN8	SDF2L1	0.856755	0.9156	1
HIV-HEK293T	HIV	HEK293T	GP120	P14314	PRKCSH	0.852425	0.9351	1
HIV-HEK293T	HIV	HEK293T	GP120	Q99470	SDF2	0.771515	0.8565	1
HIV-HEK293T	HIV	HEK293T	GP120	Q15165	PON2	0.764295	0.828	1
HIV-HEK293T	HIV	HEK293T	GP120	Q9BRK5	SDF4	0.76037	0.8562	1
HIV-HEK293T	HIV	HEK293T	GP120	O00231	PSMD11	0.703475	0.7806	1
HIV-HEK293T	HIV	HEK293T	GP120	P51665	PSMD7	0.673645	0.8024	1
HIV-HEK293T	HIV	HEK293T	GP120	O15460	P4HA2	0.648865	0.7944	1
HIV-HEK293T	HIV	HEK293T	GP120	Q9Y4L1	HYOU1	0.621365	0.7754	1
HIV-HEK293T	HIV	HEK293T	GP120	P28072	PSMB6	0.58988	0.7536	1
HIV-HEK293T	HIV	HEK293T	GP120	O43852	CALU	0.581215	0.7302	1
HIV-HEK293T	HIV	HEK293T	GP160	Q14697	GANAB	0.87012	0.9468	1
HIV-HEK293T	HIV	HEK293T	GP160	Q9UBS4	DNAJB11	0.859085	0.9305	1
HIV-HEK293T	HIV	HEK293T	GP160	P07237	P4HB	0.85812	0.9391	1
HIV-HEK293T	HIV	HEK293T	GP160	Q15165	PON2	0.848385	0.9324	1
HIV-HEK293T	HIV	HEK293T	GP160	P14314	PRKCSH	0.83359	0.9221	1
HIV-HEK293T	HIV	HEK293T	GP160	P27797	CALR	0.82397	0.9155	1
HIV-HEK293T	HIV	HEK293T	GP160	P27824	CANX	0.808975	0.8612	1
HIV-HEK293T	HIV	HEK293T	GP160	Q9HCN8	SDF2L1	0.80781	0.8893	1
HIV-HEK293T	HIV	HEK293T	GP160	P49257	LMAN1	0.793825	0.8946	1
HIV-HEK293T	HIV	HEK293T	GP160	P13073	COX4I1	0.757715	0.8696	1
HIV-HEK293T	HIV	HEK293T	GP160	Q07065	CKAP4	0.749375	0.8117	1
HIV-HEK293T	HIV	HEK293T	GP160	Q14574	DSC3	0.74872	0.8634	1
HIV-HEK293T	HIV	HEK293T	GP160	P45880	VDAC2	0.742685	0.7754	1
HIV-HEK293T	HIV	HEK293T	GP160	Q96DZ1	ERLEC1	0.734925	0.8539	1
HIV-HEK293T	HIV	HEK293T	GP160	P05067	APP	0.729685	0.8503	1
HIV-HEK293T	HIV	HEK293T	GP160	Q9BYC5	FUT8	0.712455	0.8384	1
HIV-HEK293T	HIV	HEK293T	GP160	Q99470	SDF2	0.705625	0.8285	1
HIV-HEK293T	HIV	HEK293T	GP160	Q9UBV2	SEL1L	0.683035	0.818	1
HIV-HEK293T	HIV	HEK293T	GP160	O94901	SUN1	0.668255	0.8078	1
HIV-HEK293T	HIV	HEK293T	GP160	P21796	VDAC1	0.63798	0.7555	1
HIV-HEK293T	HIV	HEK293T	GP160	O75955	FLOT1	0.619975	0.7744	1
HIV-HEK293T	HIV	HEK293T	GP160	Q9Y287	ITM2B	0.61876	0.7736	1
HIV-HEK293T	HIV	HEK293T	GP160	P25786	PSMA1	0.59154	0.7547	1
HIV-HEK293T	HIV	HEK293T	GP160	P28072	PSMB6	0.590465	0.754	1
HIV-HEK293T	HIV	HEK293T	GP41	P45880	VDAC2	0.85418	0.9149	1
HIV-HEK293T	HIV	HEK293T	GP41	Q9Y277	VDAC3	0.823225	0.8904	1
HIV-HEK293T	HIV	HEK293T	GP41	Q99623	PHB2	0.79973	0.8347	1
HIV-HEK293T	HIV	HEK293T	GP41	P35232	PHB	0.795165	0.8433	1
HIV-HEK293T	HIV	HEK293T	GP41	P49257	LMAN1	0.789115	0.8762	1
HIV-HEK293T	HIV	HEK293T	GP41	P21796	VDAC1	0.787315	0.8869	1
HIV-HEK293T	HIV	HEK293T	GP41	Q07065	CKAP4	0.782055	0.8553	1
HIV-HEK293T	HIV	HEK293T	GP41	Q96DZ1	ERLEC1	0.78163	0.8862	1
HIV-HEK293T	HIV	HEK293T	GP41	P55072	VCP	0.770475	0.8456	1
HIV-HEK293T	HIV	HEK293T	GP41	Q12907	LMAN2	0.743365	0.8597	1
HIV-HEK293T	HIV	HEK293T	GP41	P14854	COX6B1	0.72839	0.8491	1
HIV-HEK293T	HIV	HEK293T	GP41	Q9UBV2	SEL1L	0.72794	0.849	1
HIV-HEK293T	HIV	HEK293T	GP41	P30101	PDIA3	0.66633	0.8064	1
HIV-HEK293T	HIV	HEK293T	GP41	O15162	PLSCR1	0.66453	0.8052	1
HIV-HEK293T	HIV	HEK293T	GP41	Q8N4V1	MMGT1	0.653095	0.7973	1
HIV-HEK293T	HIV	HEK293T	GP41	Q13162	PRDX4	0.642555	0.79	1
HIV-HEK293T	HIV	HEK293T	GP41	Q8NBS9	TXNDC5	0.62906	0.7807	1
HIV-HEK293T	HIV	HEK293T	GP41	Q8IYS2	KIAA2013	0.624875	0.7778	1
HIV-HEK293T	HIV	HEK293T	GP41	O96000	NDUFB10	0.621955	0.7758	1
HIV-HEK293T	HIV	HEK293T	GP41	P20674	COX5A	0.620515	0.7747	1
HIV-HEK293T	HIV	HEK293T	GP41	Q9NYU2	UGGT1	0.61925	0.7689	1
HIV-HEK293T	HIV	HEK293T	GP41	Q9NRD1	FBXO6	0.61601	0.7717	1
HIV-HEK293T	HIV	HEK293T	GP41	O94919	ENDOD1	0.61318	0.7697	1
HIV-HEK293T	HIV	HEK293T	GP41	O75955	FLOT1	0.6131	0.7696	1
HIV-HEK293T	HIV	HEK293T	GP41	P13073	COX4I1	0.60509	0.7641	1
HIV-HEK293T	HIV	HEK293T	GP41	O96008	TOMM40	0.60148	0.7616	1
HIV-HEK293T	HIV	HEK293T	GP41	Q9Y5L4	TIMM13	0.520025	0.7006	1
HIV-HEK293T	HIV	HEK293T	IN	P12532	CKMT1A; CKMT1B	0.76936	0.8729	1
HIV-HEK293T	HIV	HEK293T	IN	Q9H3U1	UNC45A	0.731345	0.8514	1
HIV-HEK293T	HIV	HEK293T	IN	Q02809	PLOD1	0.69703	0.8269	1
HIV-HEK293T	HIV	HEK293T	IN	Q9Y3D0	CIAO2B	0.69175	0.824	1
HIV-HEK293T	HIV	HEK293T	IN	O75155	CAND2	0.689865	0.8227	1
HIV-HEK293T	HIV	HEK293T	IN	Q7Z4H3	HDDC2	0.68511	0.8151	1
HIV-HEK293T	HIV	HEK293T	IN	P22314	UBA1	0.6831	0.8181	1
HIV-HEK293T	HIV	HEK293T	IN	Q2T9J0	TYSND1	0.671	0.8097	1
HIV-HEK293T	HIV	HEK293T	IN	Q8TEX9	IPO4	0.669395	0.7559	1
HIV-HEK293T	HIV	HEK293T	IN	Q9GZS3	WDR61	0.65679	0.7999	1
HIV-HEK293T	HIV	HEK293T	IN	P62258	YWHAE	0.652305	0.7644	1
HIV-HEK293T	HIV	HEK293T	IN	Q9P2R7	SUCLA2	0.640495	0.7678	1
HIV-HEK293T	HIV	HEK293T	IN	P63104	YWHAZ	0.620675	0.755	1
HIV-HEK293T	HIV	HEK293T	IN	Q9Y263	PLAA	0.618395	0.7733	1
HIV-HEK293T	HIV	HEK293T	IN	O00469	PLOD2	0.616745	0.7543	1
HIV-HEK293T	HIV	HEK293T	IN	P15924	DSP	0.61441	0.7507	1
HIV-HEK293T	HIV	HEK293T	IN	Q9H583	HEATR1	0.613085	0.7696	1
HIV-HEK293T	HIV	HEK293T	IN	P13667	PDIA4	0.607105	0.7655	1
HIV-HEK293T	HIV	HEK293T	IN	O76071	CIAO1	0.60599	0.7647	1
HIV-HEK293T	HIV	HEK293T	IN	O60518	RANBP6	0.604085	0.7634	1
HIV-HEK293T	HIV	HEK293T	IN	P31946	YWHAB	0.602765	0.7625	1
HIV-HEK293T	HIV	HEK293T	IN	Q14566	MCM6	0.598145	0.7593	1
HIV-HEK293T	HIV	HEK293T	IN	Q8NEW0	SLC30A7	0.59594	0.7578	1
HIV-HEK293T	HIV	HEK293T	IN	P61981	YWHAG	0.58896	0.7529	1
HIV-HEK293T	HIV	HEK293T	MA	P07814	EPRS	0.84851	0.9292	1
HIV-HEK293T	HIV	HEK293T	MA	P54136	RARS	0.83598	0.922	1
HIV-HEK293T	HIV	HEK293T	MA	P47897	QARS	0.83264	0.9193	1
HIV-HEK293T	HIV	HEK293T	MA	Q12904	AIMP1	0.832115	0.9189	1
HIV-HEK293T	HIV	HEK293T	MA	Q13155	AIMP2	0.826815	0.9149	1
HIV-HEK293T	HIV	HEK293T	MA	P56192	MARS	0.82635	0.9079	1
HIV-HEK293T	HIV	HEK293T	MA	P14868	DARS	0.82174	0.911	1
HIV-HEK293T	HIV	HEK293T	MA	Q9NTK5	OLA1	0.82155	0.9109	1
HIV-HEK293T	HIV	HEK293T	MA	P41252	IARS	0.81948	0.9069	1
HIV-HEK293T	HIV	HEK293T	MA	O43324	EEF1E1	0.817715	0.9073	1
HIV-HEK293T	HIV	HEK293T	MA	Q15046	KARS	0.78298	0.8831	1
HIV-HEK293T	HIV	HEK293T	MA	P26639	TARS	0.756785	0.869	1
HIV-HEK293T	HIV	HEK293T	MA	Q96I59	NARS2	0.75313	0.8665	1
HIV-HEK293T	HIV	HEK293T	MA	Q9HD40	SEPSECS	0.746245	0.8617	1
HIV-HEK293T	HIV	HEK293T	MA	P49590	HARS2	0.73787	0.8558	1
HIV-HEK293T	HIV	HEK293T	MA	Q9P2J5	LARS	0.7079	0.835	1
HIV-HEK293T	HIV	HEK293T	MA	O00560	SDCBP	0.70459	0.8329	1
HIV-HEK293T	HIV	HEK293T	MA	Q14978	NOLC1	0.669895	0.8089	1
HIV-HEK293T	HIV	HEK293T	MA	Q86SQ7	SDCCAG8	0.62996	0.7813	1
HIV-HEK293T	HIV	HEK293T	NC	P13489	RNH1	0.790755	0.8703	1
HIV-HEK293T	HIV	HEK293T	NC	Q9Y3B7	MRPL11	0.696045	0.7713	1
HIV-HEK293T	HIV	HEK293T	NC	O75534	CSDE1	0.69301	0.8122	1
HIV-HEK293T	HIV	HEK293T	NC	Q9NXG2	THUMPD1	0.68941	0.8224	1
