Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
FBXL7	FBXL7: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	90	17%
CEP72	CEP72: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	89	17%
ANP32E	ANP32E: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	74	14%
BASP1	BASP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	73	14%
BCL9	BCL9: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	72	14%
CGN	CGN: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	70	14%
H3C13	H3C13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	69	13%
H2AC20	H2AC20: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	69	13%
CHD1L	CHD1L: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	69	13%
H3C14	H3C14: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	68	13%
H2AC18	H2AC18: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	68	13%
H2AC21	H2AC21: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	68	13%
H4C14	H4C14: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	67	13%
H4C15	H4C15: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	67	13%
H3C15	H3C15: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	67	13%
H2AC19	H2AC19: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	67	13%
AKT3	AKT3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	65	13%
ARHGEF2	ARHGEF2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	65	13%
CACNA1E	CACNA1E: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	64	12%
DAP3	DAP3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	62	12%
DAB2	DAB2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	57	11%
COPA	COPA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	57	11%
FCGR3A	FCGR3A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	57	11%
ATM	ATM: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	52	10%
ATAD2	ATAD2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	52	10%
BRIX1	BRIX1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	50	10%
CPSF1	CPSF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	49	9%
AGO2	AGO2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	47	9%
AHCTF1	AHCTF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	47	9%
