Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
ATAD2	ATAD2: MUT AMP HOMDEL;	75	20%
FBXO32	FBXO32: MUT AMP HOMDEL;	68	19%
CPSF1	CPSF1: MUT AMP HOMDEL;	66	18%
CACNA1E	CACNA1E: MUT AMP HOMDEL;	66	18%
EIF3E	EIF3E: MUT AMP HOMDEL;	64	17%
AGO2	AGO2: MUT AMP HOMDEL;	63	17%
COMMD5	COMMD5: MUT AMP HOMDEL;	60	16%
DCAF13	DCAF13: MUT AMP HOMDEL;	59	16%
ARHGEF2	ARHGEF2: MUT AMP HOMDEL;	53	14%
COPA	COPA: MUT AMP HOMDEL;	46	13%
DHX9	DHX9: MUT AMP HOMDEL;	46	13%
CGN	CGN: MUT AMP HOMDEL;	46	13%
DAP3	DAP3: MUT AMP HOMDEL;	46	13%
AHCTF1	AHCTF1: MUT AMP HOMDEL;	44	12%
FCGR3A	FCGR3A: MUT AMP HOMDEL;	43	12%
ANP32E	ANP32E: MUT AMP HOMDEL;	42	11%
CHD1L	CHD1L: MUT AMP HOMDEL;	42	11%
DNM3	DNM3: MUT AMP HOMDEL;	41	11%
BCL9	BCL9: MUT AMP HOMDEL;	41	11%
H2AC20	H2AC20: MUT AMP HOMDEL;	39	11%
CD55	CD55: MUT AMP HOMDEL;	39	11%
H3C13	H3C13: MUT AMP HOMDEL;	38	10%
H2AC21	H2AC21: MUT AMP HOMDEL;	38	10%
EXO1	EXO1: MUT AMP HOMDEL;	38	10%
H4C14	H4C14: MUT AMP HOMDEL;	37	10%
H4C15	H4C15: MUT AMP HOMDEL;	37	10%
H3C15	H3C15: MUT AMP HOMDEL;	37	10%
H3C14	H3C14: MUT AMP HOMDEL;	37	10%
H2AC18	H2AC18: MUT AMP HOMDEL;	37	10%
H2AC19	H2AC19: MUT AMP HOMDEL;	37	10%
EPRS1	EPRS1: MUT AMP HOMDEL;	35	10%
ARPC5	ARPC5: MUT AMP HOMDEL;	35	10%
CENPL	CENPL: MUT AMP HOMDEL;	35	10%
COPS5	COPS5: MUT AMP HOMDEL;	34	9%
H2AW	H2AW: MUT AMP HOMDEL;	33	9%
AKT3	AKT3: MUT AMP HOMDEL;	33	9%
C1ORF198	C1ORF198: MUT AMP HOMDEL;	33	9%
DTL	DTL: MUT AMP HOMDEL;	32	9%
H2BU1	H2BU1: MUT AMP HOMDEL;	31	8%
ARF1	ARF1: MUT AMP HOMDEL;	30	8%
H3-3A	H3-3A: MUT AMP HOMDEL;	30	8%
CSNK1D	CSNK1D: MUT AMP HOMDEL;	29	8%
CCAR2	CCAR2: MUT AMP HOMDEL;	28	8%
ALYREF	ALYREF: MUT AMP HOMDEL;	26	7%
EIF4A3	EIF4A3: MUT AMP HOMDEL;	26	7%
GPS1	GPS1: MUT AMP HOMDEL;	26	7%
CEP131	CEP131: MUT AMP HOMDEL;	26	7%
CLTC	CLTC: MUT AMP HOMDEL;	25	7%
BAP1	BAP1: MUT AMP HOMDEL;	25	7%
CENPX	CENPX: MUT AMP HOMDEL;	25	7%
CHRNB3	CHRNB3: MUT AMP HOMDEL;	25	7%
ALMS1	ALMS1: MUT AMP HOMDEL;	24	7%
CHRNA2	CHRNA2: MUT AMP HOMDEL;	24	7%
FGF19	FGF19: MUT AMP HOMDEL;	24	7%
GREB1	GREB1: MUT AMP HOMDEL;	23	6%
DDX42	DDX42: MUT AMP HOMDEL;	23	6%
H3-3B	H3-3B: MUT AMP HOMDEL;	22	6%
CDC5L	CDC5L: MUT AMP HOMDEL;	21	6%
ATR	ATR: MUT AMP HOMDEL;	21	6%
CDC27	CDC27: MUT AMP HOMDEL;	21	6%
DCTN6	DCTN6: MUT AMP HOMDEL;	21	6%
BRIP1	BRIP1: MUT AMP HOMDEL;	20	5%
ERLIN2	ERLIN2: MUT AMP HOMDEL;	20	5%
DDX39B	DDX39B: MUT AMP HOMDEL;	19	5%
DHX16	DHX16: MUT AMP HOMDEL;	19	5%
GTF2H4	GTF2H4: MUT AMP HOMDEL;	19	5%
DDX5	DDX5: MUT AMP HOMDEL;	18	5%
