Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
TP53	TP53: MUT AMP HOMDEL EXP>=2 EXP<=-2;	131	36%
PIP5K1A	PIP5K1A: MUT AMP HOMDEL EXP>=2 EXP<=-2;	100	28%
SHC1	SHC1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	74	21%
FCGR2B	FCGR2B: MUT AMP HOMDEL EXP>=2 EXP<=-2;	58	16%
DAGLB	DAGLB: MUT AMP HOMDEL EXP>=2 EXP<=-2;	57	16%
SH2D2A	SH2D2A: MUT AMP HOMDEL EXP>=2 EXP<=-2;	55	15%
FCAMR	FCAMR: MUT AMP HOMDEL EXP>=2 EXP<=-2;	55	15%
LYN	LYN: MUT AMP HOMDEL EXP>=2 EXP<=-2;	52	14%
FCER1A	FCER1A: MUT AMP HOMDEL EXP>=2 EXP<=-2;	52	14%
FCGR2A	FCGR2A: MUT AMP HOMDEL EXP>=2 EXP<=-2;	51	14%
BAIAP2	BAIAP2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	50	14%
AKT3	AKT3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	49	14%
VEGFA	VEGFA: MUT AMP HOMDEL EXP>=2 EXP<=-2;	48	13%
USF2	USF2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	48	13%
ERLIN2	ERLIN2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	48	13%
GNA13	GNA13: MUT AMP HOMDEL EXP>=2 EXP<=-2;	47	13%
FGF17	FGF17: MUT AMP HOMDEL EXP>=2 EXP<=-2;	47	13%
FCGR3A	FCGR3A: MUT AMP HOMDEL EXP>=2 EXP<=-2;	47	13%
AKT1	AKT1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	46	13%
PIP4K2B	PIP4K2B: MUT AMP HOMDEL EXP>=2 EXP<=-2;	46	13%
PRKCA	PRKCA: MUT AMP HOMDEL EXP>=2 EXP<=-2;	44	12%
PPP1R12B	PPP1R12B: MUT AMP HOMDEL EXP>=2 EXP<=-2;	44	12%
FGF19	FGF19: MUT AMP HOMDEL EXP>=2 EXP<=-2;	44	12%
NRG1	NRG1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	43	12%
CD247	CD247: MUT AMP HOMDEL EXP>=2 EXP<=-2;	43	12%
RGS7	RGS7: MUT AMP HOMDEL EXP>=2 EXP<=-2;	43	12%
C1QBP	C1QBP: MUT AMP HOMDEL EXP>=2 EXP<=-2;	42	12%
IRAK1	IRAK1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	41	11%
PIK3CA	PIK3CA: MUT AMP HOMDEL EXP>=2 EXP<=-2;	40	11%
FCGR1A	FCGR1A: MUT AMP HOMDEL EXP>=2 EXP<=-2;	39	11%
F8	F8: MUT AMP HOMDEL EXP>=2 EXP<=-2;	39	11%
PTEN	PTEN: MUT AMP HOMDEL EXP>=2 EXP<=-2;	38	11%
DVL3	DVL3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	37	10%
OCRL	OCRL: MUT AMP HOMDEL EXP>=2 EXP<=-2;	37	10%
EEF1A1	EEF1A1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	37	10%
DPP4	DPP4: MUT AMP HOMDEL EXP>=2 EXP<=-2;	37	10%
ITPKB	ITPKB: MUT AMP HOMDEL EXP>=2 EXP<=-2;	37	10%
DGKE	DGKE: MUT AMP HOMDEL EXP>=2 EXP<=-2;	37	10%
MET	MET: MUT AMP HOMDEL EXP>=2 EXP<=-2;	36	10%
CYFIP1	CYFIP1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	36	10%
FGFR4	FGFR4: MUT AMP HOMDEL EXP>=2 EXP<=-2;	35	10%
ITPR3	ITPR3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	35	10%
MYO18A	MYO18A: MUT AMP HOMDEL EXP>=2 EXP<=-2;	35	10%
MAPK1	MAPK1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	34	9%
PLCG1	PLCG1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	34	9%
AKT2	AKT2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	34	9%
ABI1	ABI1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	34	9%
DGKG	DGKG: MUT AMP HOMDEL EXP>=2 EXP<=-2;	34	9%
KLB	KLB: MUT AMP HOMDEL EXP>=2 EXP<=-2;	34	9%
BLK	BLK: MUT AMP HOMDEL EXP>=2 EXP<=-2;	33	9%
PRKCD	PRKCD: MUT AMP HOMDEL EXP>=2 EXP<=-2;	33	9%
FGFR1	FGFR1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	33	9%
KITLG	KITLG: MUT AMP HOMDEL EXP>=2 EXP<=-2;	33	9%
PIP4K2C	PIP4K2C: MUT AMP HOMDEL EXP>=2 EXP<=-2;	33	9%
STAM	STAM: MUT AMP HOMDEL EXP>=2 EXP<=-2;	32	9%
BRK1	BRK1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	32	9%
PIK3R2	PIK3R2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	32	9%
IRS2	IRS2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	32	9%
FGFR1OP2	FGFR1OP2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	31	9%
BCR	BCR: MUT AMP HOMDEL EXP>=2 EXP<=-2;	31	9%
TRPC1	TRPC1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	31	9%
TRIM24	TRIM24: MUT AMP HOMDEL EXP>=2 EXP<=-2;	31	9%
CUX1	CUX1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	31	9%
TF	TF: MUT AMP HOMDEL EXP>=2 EXP<=-2;	30	8%
CALM1	CALM1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	30	8%
DVL1	DVL1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	30	8%
VAV3	VAV3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	30	8%
GPR183	GPR183: MUT AMP HOMDEL EXP>=2 EXP<=-2;	30	8%
PIK3CB	PIK3CB: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
PIK3C3	PIK3C3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
NRG2	NRG2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
FGF20	FGF20: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
FGF3	FGF3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
TRPC5	TRPC5: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
FGFR2	FGFR2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
PLCB1	PLCB1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
PDGFA	PDGFA: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
CLTCL1	CLTCL1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
MYO10	MYO10: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
