Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FAM200B		1	1	88	1.1%	No
C4ORF54		1	1	88	1.1%	No
MDM1		1	1	88	1.1%	No
ASPM		4	4	88	4.5%	No
RNF146		1	1	88	1.1%	No
SPRY4		1	1	88	1.1%	No
OGN		2	2	88	2.3%	No
DPYSL5		2	2	88	2.3%	No
FOXM1		1	1	88	1.1%	No
WRNIP1		2	2	88	2.3%	No
FOXE1		1	1	88	1.1%	No
CDC42BPG		2	2	88	2.3%	No
DNAH3		6	6	88	6.8%	No
UBQLN4		1	1	88	1.1%	No
LAMA1		4	4	88	4.5%	No
KRTAP1-3		2	1	88	1.1%	No
INPP4A		1	1	88	1.1%	Yes
INPP5D		2	2	88	2.3%	Yes
OGDH		2	2	88	2.3%	No
FLNB		3	3	88	3.4%	No
FLNA		5	5	88	5.7%	No
A2M		2	2	88	2.3%	No
FLII		1	1	88	1.1%	No
TRIM56		1	1	88	1.1%	No
FLG		9	8	88	9.1%	No
SUPT20H		1	1	88	1.1%	No
STAB2		1	1	88	1.1%	No
INSR		2	2	88	2.3%	Yes
INSRR		1	1	88	1.1%	No
OPA1		2	1	88	1.1%	No
EIF3E		1	1	88	1.1%	Yes
FLOT2		1	1	88	1.1%	No
FLNC		3	3	88	3.4%	No
IRF2		1	1	88	1.1%	Yes
OR1D2		2	1	88	1.1%	No
FBXW10B		1	1	88	1.1%	No
OR2C1		1	1	88	1.1%	No
CDH2		1	1	88	1.1%	No
FMOD		1	1	88	1.1%	No
FMO5		1	1	88	1.1%	No
KIF27		1	1	88	1.1%	No
MIOX		1	1	88	1.1%	No
FMO2		1	1	88	1.1%	No
FLT4		2	2	88	2.3%	Yes
KRTAP4-6		1	1	88	1.1%	No
KRTAP2-1		1	1	88	1.1%	No
TMEM132D		1	1	88	1.1%	No
FLT1		1	1	88	1.1%	Yes
IPP		1	1	88	1.1%	No
IRAK1		2	2	88	2.3%	No
IREB2		1	1	88	1.1%	No
IRF1		2	2	88	2.3%	Yes
ISL1		1	1	88	1.1%	No
ITGA1		1	1	88	1.1%	No
GPR180		1	1	88	1.1%	No
EFCAB9		1	1	88	1.1%	No
ITGA2		2	2	88	2.3%	No
CDH12		2	2	88	2.3%	No
OTUD5		3	3	88	3.4%	No
ZNF611		1	1	88	1.1%	No
GOLGA2P5		1	1	88	1.1%	No
MED25		1	1	88	1.1%	No
VEZT		2	2	88	2.3%	No
SHARPIN		2	2	88	2.3%	No
CDH10		4	3	88	3.4%	No
FNTA		1	1	88	1.1%	No
ZCCHC8		1	1	88	1.1%	No
CDH8		1	1	88	1.1%	No
OR4K1		2	2	88	2.3%	No
CDH4		2	2	88	2.3%	No
RNPC3		2	2	88	2.3%	No
MRGPRX1		2	2	88	2.3%	No
FMR1		1	1	88	1.1%	No
OR3A1		1	1	88	1.1%	No
IRF6		1	1	88	1.1%	No
OR6J1		1	1	88	1.1%	No
IRF7		2	1	88	1.1%	No
ORC1		1	1	88	1.1%	No
ZXDB		1	1	88	1.1%	No
FMR1NB		1	1	88	1.1%	No
ITGA9		1	1	88	1.1%	No
ITGAL		1	1	88	1.1%	No
ITGAM		2	2	88	2.3%	No
FOS		1	1	88	1.1%	No
FOLR3		1	1	88	1.1%	No
GCC1		1	1	88	1.1%	No
ABHD8		1	1	88	1.1%	No
CDK3		1	1	88	1.1%	No
FOLR1		1	1	88	1.1%	No
CDC73		1	1	88	1.1%	Yes
NKAP		1	1	88	1.1%	No
FOLH1		3	3	88	3.4%	No
ITGA2B		1	1	88	1.1%	No
ITGA4		3	3	88	3.4%	No
ITGA5		2	2	88	2.3%	No
ITGA7		1	1	88	1.1%	No
METTL24		1	1	88	1.1%	No
ITGB3		2	2	88	2.3%	No
ITGB4		2	2	88	2.3%	No
FRYL		2	2	88	2.3%	No
CDKN2A		1	1	88	1.1%	Yes
LAS1L		2	2	88	2.3%	No
FPR2		1	1	88	1.1%	No
FOSB		1	1	88	1.1%	No
ITGAV		1	1	88	1.1%	No
ITGB1		2	2	88	2.3%	No
FANK1		1	1	88	1.1%	No
BOD1L1		5	4	88	4.5%	No
TAS2R43		1	1	88	1.1%	No
SAP130		4	4	88	4.5%	No
C16ORF89		1	1	88	1.1%	No
GPR75-ASB3		1	1	88	1.1%	No
CDR2		2	2	88	2.3%	No
CDR1		1	1	88	1.1%	No
CEP97		1	1	88	1.1%	No
CDO1		1	1	88	1.1%	No
ITIH2		1	1	88	1.1%	No
ITIH3		1	1	88	1.1%	No
TAS2R30		1	1	88	1.1%	No
CCDC122		2	2	88	2.3%	No
DGKH		2	2	88	2.3%	No
SPAG16		1	1	88	1.1%	No
CEBPA		1	1	88	1.1%	Yes
DNLZ		1	1	88	1.1%	No
CORO7		1	1	88	1.1%	No
RNF128		1	1	88	1.1%	No
CENPF		4	4	88	4.5%	No
CENPE		7	5	88	5.7%	No
CEL		2	2	88	2.3%	No
SRRM5		3	1	88	1.1%	No
MICALL1		1	1	88	1.1%	No
TUBGCP6		2	2	88	2.3%	No
PCSK9		1	1	88	1.1%	No
SHC2		3	2	88	2.3%	No
UHRF2		2	2	88	2.3%	No
KIAA1549L		3	3	88	3.4%	No
BTN3A1		1	1	88	1.1%	No
STRIP1		1	1	88	1.1%	No
OBSCN		5	5	88	5.7%	No
ZC3HAV1		2	1	88	1.1%	No
MAGEB10		1	1	88	1.1%	No
SYDE1		1	1	88	1.1%	No
CFTR		2	2	88	2.3%	No
MAGT1		1	1	88	1.1%	No
CEACAM8		1	1	88	1.1%	No
UNC13C		4	3	88	3.4%	No
GDF5-AS1		1	1	88	1.1%	No
CHST12		2	1	88	1.1%	No
ETNK1		1	1	88	1.1%	Yes
TEX35		1	1	88	1.1%	No
TRPV6		2	2	88	2.3%	No
SLC10A7		1	1	88	1.1%	No
GPR137		1	1	88	1.1%	No
SLC35E3		1	1	88	1.1%	No
RNF40		1	1	88	1.1%	No
CTIF		1	1	88	1.1%	No
OR6C65		1	1	88	1.1%	No
OR6C68		1	1	88	1.1%	No
TEX55		1	1	88	1.1%	No
GOLGA8B		1	1	88	1.1%	No
ADGRV1		11	8	88	9.1%	No
IGSF11		2	2	88	2.3%	No
SAGE1		1	1	88	1.1%	No
DDX43		1	1	88	1.1%	No
OR52B2		1	1	88	1.1%	No
SPOCK2		1	1	88	1.1%	No
ENKD1		1	1	88	1.1%	No
RB1CC1		3	2	88	2.3%	No
CUL7		1	1	88	1.1%	No
CPT1C		1	1	88	1.1%	No
GRIPAP1		1	1	88	1.1%	No
TSC22D2		1	1	88	1.1%	No
PRAG1		1	1	88	1.1%	No
PIP4P2		1	1	88	1.1%	No
HORMAD1		1	1	88	1.1%	No
ARMC2		1	1	88	1.1%	No
PPFIA1		1	1	88	1.1%	No
CRYBG1		2	2	88	2.3%	No
AK2		1	1	88	1.1%	No
AKT1		1	1	88	1.1%	Yes
ARHGEF11		4	4	88	4.5%	No
C3ORF20		2	2	88	2.3%	No
AKT2		1	1	88	1.1%	Yes
DNAJC6		2	2	88	2.3%	No
QRICH2		1	1	88	1.1%	No
ARHGEF17		1	1	88	1.1%	No
FSCB		1	1	88	1.1%	No
TESPA1		1	1	88	1.1%	No
HEPH		1	1	88	1.1%	No
LIPF		1	1	88	1.1%	No
ELMO1		1	1	88	1.1%	No
ALAD		1	1	88	1.1%	No
TREM1		1	1	88	1.1%	No
IL17RB		1	1	88	1.1%	No
NETO1		3	3	88	3.4%	No
ALAS2		2	2	88	2.3%	No
UCN3		1	1	88	1.1%	No
SIGLEC11		2	2	88	2.3%	No
ALCAM		1	1	88	1.1%	No
ABCD1		2	2	88	2.3%	No
ALDH1A1		1	1	88	1.1%	No
ZCCHC12		2	2	88	2.3%	No
ALDH3A1		1	1	88	1.1%	No
CNTNAP1		2	2	88	2.3%	No
GINS1		1	1	88	1.1%	No
PIK3R3		1	1	88	1.1%	Yes
SLC41A1		1	1	88	1.1%	No
DYNLT2B		3	2	88	2.3%	No
NIPSNAP1		1	1	88	1.1%	No
ZEB2		3	3	88	3.4%	No
HAT1		1	1	88	1.1%	No
FARP2		2	2	88	2.3%	No
RUSC2		3	3	88	3.4%	No
ALDH1A3		1	1	88	1.1%	No
ABHD3		1	1	88	1.1%	No
AKR1C8		2	2	88	2.3%	No
ALDH3A2		1	1	88	1.1%	No
CCDC39		1	1	88	1.1%	No
FSTL5		2	2	88	2.3%	No
ITGA8		1	1	88	1.1%	No
KCNAB2		1	1	88	1.1%	No
ITGA10		1	1	88	1.1%	No
GAB2		1	1	88	1.1%	Yes
PLXNA3		6	5	88	5.7%	No
DNAAF3		1	1	88	1.1%	No
TM9SF3		1	1	88	1.1%	No
ELP1		2	1	88	1.1%	No
ZNF518A		2	2	88	2.3%	No
PSMD6		1	1	88	1.1%	No
YBX3		2	2	88	2.3%	No
TRH		2	2	88	2.3%	No
GLRA4		2	2	88	2.3%	No
SH2D7		2	2	88	2.3%	No
