Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FAM200B		3	3	127	2.4%	No
INSL3		1	1	127	0.8%	No
MDM1		2	2	127	1.6%	No
ASPM		6	6	127	4.7%	No
SBF2		3	3	127	2.4%	No
RNF146		2	2	127	1.6%	No
FOXD2		1	1	127	0.8%	No
OGN		3	3	127	2.4%	No
DPYSL5		2	2	127	1.6%	No
FOXM1		2	2	127	1.6%	No
WRNIP1		1	1	127	0.8%	No
FOXE1		2	2	127	1.6%	No
CDC42BPG		1	1	127	0.8%	No
ANKS1B		2	2	127	1.6%	No
DNAH3		5	5	127	3.9%	No
UBQLN4		1	1	127	0.8%	No
LAMA1		6	6	127	4.7%	No
FOXL1		1	1	127	0.8%	No
KRTAP1-3		2	1	127	0.8%	No
ZNF821		1	1	127	0.8%	No
AGPAT4		1	1	127	0.8%	No
INPP4A		1	1	127	0.8%	Yes
FOXO3		2	2	127	1.6%	Yes
INPP5D		2	2	127	1.6%	Yes
OGDH		4	3	127	2.4%	No
FOXS1		1	1	127	0.8%	No
C12ORF54		1	1	127	0.8%	No
FLNB		3	3	127	2.4%	No
FLNA		9	9	127	7.1%	No
A2M		2	2	127	1.6%	No
FLII		2	2	127	1.6%	No
TRIM56		1	1	127	0.8%	No
FLG		20	16	127	12.6%	No
SUPT20H		2	2	127	1.6%	No
STAB2		3	3	127	2.4%	No
INSR		3	3	127	2.4%	Yes
INSRR		3	3	127	2.4%	No
OPA1		4	3	127	2.4%	No
EIF3E		1	1	127	0.8%	Yes
FLOT2		1	1	127	0.8%	No
OPCML		2	2	127	1.6%	No
FLNC		5	5	127	3.9%	No
IRF2		1	1	127	0.8%	Yes
IRF3		1	1	127	0.8%	No
OR1F1		1	1	127	0.8%	No
IRF4		5	4	127	3.1%	Yes
OR2C1		2	2	127	1.6%	No
CDH2		2	2	127	1.6%	No
FMOD		1	1	127	0.8%	No
FMO5		3	3	127	2.4%	No
KIF27		3	3	127	2.4%	No
FMO3		1	1	127	0.8%	No
MIOX		1	1	127	0.8%	No
FMO2		1	1	127	0.8%	No
CHRNA9		1	1	127	0.8%	No
FLT4		3	3	127	2.4%	Yes
KRTAP4-6		1	1	127	0.8%	No
FLT3		1	1	127	0.8%	Yes
MED29		1	1	127	0.8%	No
