Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
EIF4G1	EIF4G1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	73	15%
CDK12	CDK12: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	67	14%
ATAD2	ATAD2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	67	14%
ATM	ATM: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	66	14%
DCAF13	DCAF13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	61	13%
ANK3	ANK3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	60	13%
CSTF1	CSTF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	58	12%
CACNA1E	CACNA1E: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	57	12%
AGO2	AGO2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	55	12%
CUX1	CUX1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	55	12%
CPSF1	CPSF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	52	11%
BRD8	BRD8: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	51	11%
CASC3	CASC3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	50	10%
CDC6	CDC6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	49	10%
FN1	FN1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	48	10%
BCL9	BCL9: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	47	10%
CHD4	CHD4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	46	10%
DHX35	DHX35: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	46	10%
FBXO32	FBXO32: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	45	9%
ARPC1A	ARPC1A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	44	9%
CDC5L	CDC5L: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	44	9%
CTDP1	CTDP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	44	9%
ERCC5	ERCC5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	44	9%
CTTN	CTTN: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	43	9%
EIF3B	EIF3B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	42	9%
ATR	ATR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	42	9%
DAB2	DAB2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	9%
EEF2	EEF2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	9%
CEP250	CEP250: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	9%
C2CD3	C2CD3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	9%
CXXC1	CXXC1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	9%
BAP1	BAP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	9%
