nodes	pvals	fdrs	x0	xss_t	dataset
A1BG	0.0765	0.15068689745837	0	0.0146672119615717	HIV_preys
ACE2	0.1759	0.228550513079925	0	0.00321661024226264	HIV_preys
ADAM10	0.2347	0.282892404639002	0	0.0144680401712824	HIV_preys
ADAM17	0.1166	0.178864260728607	0	0.0154461152005525	HIV_preys
ADAM9	0.1916	0.243202823861631	0	0.0128019275414162	HIV_preys
AGO1	0	0	0	0.0188146952502515	HIV_preys
AKT1	0.0016	0.0124321521175454	0	0.0162423618453889	HIV_preys
ANXA7	0.0067	0.0427639332623358	0	0.0177425197187899	HIV_preys
CDKN1A	0.0016	0.0124321521175454	0	0.0174792249931995	HIV_preys
CRISP3	0.6727	0.703451552867279	0	0.00104933182552854	HIV_preys
CRK	0.0435	0.123637369585836	0	0.0158991081091868	HIV_preys
CSE1L	0.0156	0.0750369181380417	0	0.0211288610808497	HIV_preys
CUL4B	8e-04	0.00689880095923261	0	0.0185434259307575	HIV_preys
DDX3X	0	0	0	0.0182944922556	HIV_preys
DEAF1	0.0522	0.133907262091597	0	0.0168400502624433	HIV_preys
E2F1	0.0292	0.105722110350383	0	0.0176635215798898	HIV_preys
E2F2	0.0656	0.144509679000245	0	0.0148405664482074	HIV_preys
E2F3	0.0034	0.0236578947368421	0	0.0194726143431586	HIV_preys
EIF3E	0	0	1	0.0185127367290067	HIV_preys
ELAVL1	0	0	0	0.0184689623728492	HIV_preys
FDXR	0.1468	0.202817273705241	0	0.016295341574893	HIV_preys
GABRA2	0.6161	0.650659500734214	0	0.00750246249467442	HIV_preys
GDPD1	0.2162	0.265651336021322	0	0.0126433267909997	HIV_preys
GLIPR1	0.1499	0.205348723809524	0	0.0122155983902822	HIV_preys
GRB2	4e-04	0.0037753280839895	1	0.0161582207547778	HIV_preys
GRB7	0.0464	0.127447601588756	0	0.0170691414965077	HIV_preys
HNF4A	0.2187	0.26786280653951	0	0.0134052140519035	HIV_preys
HNRNPC	1e-04	0.00106833036244801	0	0.0178015110372398	HIV_preys
HUWE1	0.0023	0.016941417451864	1	0.018596840653556	HIV_preys
IQGAP1	0.0014	0.0110841039189784	0	0.0172375504508736	HIV_preys
KCMF1	0.1453	0.201643562828033	0	0.0172426153923229	HIV_preys
KPNB1	0	0	0	0.018141040946403	HIV_preys
LIG3	0.001	0.00833178869323448	0	0.0183898734973447	HIV_preys
MYD88	0.0045	0.030145305514158	0	0.0155995101956635	HIV_preys
NEIL1	0.0244	0.103567516525024	0	0.0175800977093903	HIV_preys
NTHL1	0.0938	0.16219696095403	0	0.0111151396583003	HIV_preys
ONECUT1	0.2128	0.262388149773694	0	0.00443694199667081	HIV_preys
PFN2	0.0374	0.120749147064105	0	0.0182770624504945	HIV_preys
PIAS1	0.0141	0.0721246088193457	0	0.0180490031840071	HIV_preys
PIK3CA	0.0062	0.0400704529115744	0	0.0160496105525219	HIV_preys
PIK3R1	0.0096	0.0584715447154472	0	0.0157337886253107	HIV_preys
PNKP	0.0528	0.134410873566473	0	0.0168617414287611	HIV_preys
POLB	0.0472	0.128292668178382	0	0.0184846541353457	HIV_preys
PPP2R1A	0	0	0	0.0178697196196327	HIV_preys
PRDX4	1e-04	0.00106833036244801	1	0.073249417185181	HIV_preys
PSMD11	0	0	1	0.0183134032495565	HIV_preys
PSME4	0	0	0	0.0186572203379305	HIV_preys
PTPN11	0.0349	0.115924995381489	0	0.0153324900537325	HIV_preys
RAD51	0.0017	0.0130735671514115	0	0.0179753467774142	HIV_preys
RNF123	0.0672	0.145194864410847	0	0.0177918097390932	HIV_preys
SETD7	0.0195	0.0879824341279799	0	0.0173592569341148	HIV_preys
SHMT2	0.0501	0.131985054945055	0	0.018378962141539	HIV_preys
SMN1	0	0	0	0.0179634731280448	HIV_preys
SMN2	0	0	0	0.0179634731280447	HIV_preys
SNCA	0.009	0.0553798767967146	0	0.0175383149913913	HIV_preys
SOS1	0.0026	0.0188196457326892	0	0.0156146526899482	HIV_preys
SPAG9	0.0515	0.13342507204611	0	0.0181862037542071	HIV_preys
SSB	0.0013	0.0104115812917595	0	0.0186968039352707	HIV_preys
TK1	0.0614	0.141771157056633	0	0.0165744918556842	HIV_preys
TNPO1	0.0012	0.00969707865168539	0	0.0184719936370556	HIV_preys
