Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	1	18	5.6%	No
RNA5SP217		6q22.33	HOMDEL	1	18	5.6%	No
MAP6		11q13.5	HOMDEL	1	18	5.6%	No
TMEM168		7q31.1	HOMDEL	1	18	5.6%	No
NFKBIB		19q13.2	AMP	1	18	5.6%	No
IFNL2		19q13.2	AMP	1	18	5.6%	No
COMMD5		8q24.3	AMP	1	18	5.6%	No
SMIM10		Xq26.3	AMP	2	18	11.1%	No
PKP3	2.701e-2	11p15.5	HOMDEL	1	18	5.6%	No
RPL39P5		3q22.2	AMP	1	18	5.6%	No
NOL11		17q24.2	AMP	1	18	5.6%	No
TMC5		16p12.3	AMP	1	18	5.6%	No
MTRNR2L11		1q43	AMP	1	18	5.6%	No
NAT2		8p22	HOMDEL	1	18	5.6%	No
INTU		4q28.1	HOMDEL	1	18	5.6%	No
UGT1A10	3.466e-41	2q37.1	HOMDEL	1	18	5.6%	No
SNORA29	9.848e-5	6q25.3	HOMDEL	3	18	16.7%	No
ALG1L2		3q22.1	AMP	1	18	5.6%	No
WDR24		16p13.3	AMP	1	18	5.6%	No
STK11IP		2q35	HOMDEL	1	18	5.6%	No
LINC00471	3.466e-41	2q37.1	HOMDEL	1	18	5.6%	No
INO80D		2q33.3	HOMDEL	1	18	5.6%	No
TXLNB		6q24.1	HOMDEL	1	18	5.6%	No
SSTR5		16p13.3	AMP	1	18	5.6%	No
HEY2		6q22.31	HOMDEL	1	18	5.6%	No
SF3B5		6q24.2	HOMDEL	1	18	5.6%	No
COG1		17q25.1	AMP	1	18	5.6%	No
TMEM139	1.615e-3	7q34	HOMDEL	1	18	5.6%	No
RNF212	1.297e-1	4p16.3	HOMDEL	1	18	5.6%	No
RIC8A	2.701e-2	11p15.5	HOMDEL	1	18	5.6%	No
EPHA1	1.615e-3	7q34-q35	HOMDEL	1	18	5.6%	No
RAB36		22q11.23	AMP	1	18	5.6%	No
C11ORF52	1.076e-32	11q23.1	HOMDEL	1	18	5.6%	No
GLYR1		16p13.3	AMP	1	18	5.6%	No
OR2T29		1q44	AMP	1	18	5.6%	No
RNY4	1.615e-3	7q36.1	HOMDEL	1	18	5.6%	No
C2ORF72	3.466e-41	2q37.1	HOMDEL	1	18	5.6%	No
LINC02901	9.848e-5	6q25.3	HOMDEL	2	18	11.1%	No
POT1	1.615e-3	7q31.33	HOMDEL	1	18	5.6%	Yes
CCDC83		11q14.1-q14.2	HOMDEL	2	18	11.1%	No
RSL1D1		16p13.13	AMP	1	18	5.6%	No
AASDHPPT	1.076e-32	11q22.3	HOMDEL	1	18	5.6%	No
ADGRD2		9q33.3	AMP	1	18	5.6%	No
RNA5SP345		11q21	HOMDEL	1	18	5.6%	No
RN7SKP235		4q31.21	HOMDEL	1	18	5.6%	No
GMPR	4.670e-2	6p22.3	HOMDEL	1	18	5.6%	No
RN7SKP177		3q25.31	AMP	2	18	11.1%	No
FGF17		8p21.3	HOMDEL	1	18	5.6%	No
ARL4C	3.466e-41	2q37.1	HOMDEL	1	18	5.6%	No
NAF1		4q32.2	HOMDEL	1	18	5.6%	No
CLGN		4q31.1	HOMDEL	1	18	5.6%	No
HIRA		22q11.21	AMP	1	18	5.6%	Yes
CASP12	1.076e-32	11q22.3	HOMDEL	1	18	5.6%	No
B3GNT7	3.466e-41	2q37.1	HOMDEL	1	18	5.6%	No
MPP1		Xq28	AMP	2	18	11.1%	No
TMEM131L		4q31.3	HOMDEL	2	18	11.1%	No
CREBZF		11q14.1	HOMDEL	2	18	11.1%	No
SDHAP3		5p15.33	AMP	1	18	5.6%	No
LINC00589		8p12	HOMDEL	1	18	5.6%	No
POLE		12q24.33	AMP	1	18	5.6%	Yes
VIP		6q25.2	HOMDEL	1	18	5.6%	No
ARL13B		3q11.1-q11.2	AMP	1	18	5.6%	No
IL12A		3q25.33	AMP	2	18	11.1%	No
ADGRE3		19p13.12	AMP	1	18	5.6%	No
ZNF490		19p13.2-p13.13	AMP	1	18	5.6%	No
ZNF576		19q13.31	AMP	1	18	5.6%	No
PAK4		19q13.2	AMP	1	18	5.6%	No
RN7SL584P		15q11.1	AMP	1	18	5.6%	No
SHH	1.615e-3	7q36.3	HOMDEL	1	18	5.6%	No
CENPU		4q35.1	HOMDEL	1	18	5.6%	No
AMOTL2		3q22.2	AMP	1	18	5.6%	No
CATSPERG	3.164e-8	19q13.2	AMP	1	18	5.6%	No
ABCC6		16p13.11	AMP	1	18	5.6%	No
DVL3		3q27.1	AMP	3	18	16.7%	No
CHCHD3	1.615e-3	7q32.3-q33	HOMDEL	1	18	5.6%	No
MMP25		16p13.3	AMP	1	18	5.6%	No
ACKR4		3q22.1	AMP	1	18	5.6%	No
ZNF280C		Xq26.1	AMP	1	18	5.6%	No
CCNL2	2.952e-4	1p36.33	HOMDEL	1	18	5.6%	No
NT5DC1		6q22.1	HOMDEL	1	18	5.6%	No
PRR21	3.466e-41	2q37.3	HOMDEL	1	18	5.6%	No
UTP11		1p34.3	AMP	1	18	5.6%	No
CT45A2		Xq26.3	AMP	2	18	11.1%	No
FAM76B		11q21	HOMDEL	1	18	5.6%	No
LINC00903		3q13.31	AMP	1	18	5.6%	No
SIDT1		3q13.2	AMP	1	18	5.6%	No
SYMPK		19q13.32	AMP	1	18	5.6%	No
NKPD1		19q13.32	AMP	1	18	5.6%	No
TRBV19	1.615e-3	7q34	HOMDEL	1	18	5.6%	No
NUMBL		19q13.2	AMP	1	18	5.6%	No
