Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
KRT19		1	1	8	12.5%	No
SLC38A5		1	1	8	12.5%	No
GABBR1		2	2	8	25.0%	No
OSMR		1	1	8	12.5%	No
ARHGEF2		2	2	8	25.0%	No
ASPM		1	1	8	12.5%	No
FOXM1		1	1	8	12.5%	No
XRCC6		1	1	8	12.5%	No
KHDRBS3		1	1	8	12.5%	No
NLGN4X		1	1	8	12.5%	No
NDUFV2		1	1	8	12.5%	No
CELF1		1	1	8	12.5%	No
ATAD2		1	1	8	12.5%	No
LAMA1		1	1	8	12.5%	No
ABCF3		1	1	8	12.5%	No
AGPAT3		1	1	8	12.5%	No
CCDC74A		1	1	8	12.5%	No
TDRD12		1	1	8	12.5%	No
PURA		1	1	8	12.5%	No
SVOPL		1	1	8	12.5%	No
KRT72		1	1	8	12.5%	No
C9ORF131		1	1	8	12.5%	No
ANKRD6		1	1	8	12.5%	No
SLC33A1		2	2	8	25.0%	No
FARS2		1	1	8	12.5%	No
TLX3		1	1	8	12.5%	Yes
ARHGAP31		1	1	8	12.5%	No
FLG		1	1	8	12.5%	No
CIART		1	1	8	12.5%	No
CALD1		1	1	8	12.5%	No
INSM1		1	1	8	12.5%	No
TESK2		1	1	8	12.5%	No
ZNF493		2	2	8	25.0%	No
NEDD4		2	2	8	25.0%	No
FLNC		1	1	8	12.5%	No
ZNF425		1	1	8	12.5%	No
CHSY1		1	1	8	12.5%	No
ADGRL1		1	1	8	12.5%	No
PHLDB2		1	1	8	12.5%	No
LTB4R		1	1	8	12.5%	No
SLC15A4		1	1	8	12.5%	No
ZNF548		1	1	8	12.5%	No
LMTK2		1	1	8	12.5%	No
FMO3		1	1	8	12.5%	No
OR5H2		1	1	8	12.5%	No
CEP85L		1	1	8	12.5%	No
SLFN12		1	1	8	12.5%	No
HECW2		2	2	8	25.0%	No
KRTAP4-6		1	1	8	12.5%	No
ZNF160		1	1	8	12.5%	No
NWD1		1	1	8	12.5%	No
TBX21		1	1	8	12.5%	No
ZBTB47		1	1	8	12.5%	No
CFAP58		1	1	8	12.5%	No
PNPT1		1	1	8	12.5%	No
CAMK2G		1	1	8	12.5%	No
ISLR		1	1	8	12.5%	No
ZNF845		1	1	8	12.5%	No
MTF1		1	1	8	12.5%	No
CDH12		1	1	8	12.5%	No
OTUD5		1	1	8	12.5%	No
IQCA1		1	1	8	12.5%	No
IFI16		1	1	8	12.5%	No
MIB1		1	1	8	12.5%	Yes
PABPN1L		1	1	8	12.5%	No
TCF12		1	1	8	12.5%	Yes
WDR81		1	1	8	12.5%	No
RERGL		1	1	8	12.5%	No
DIAPH3		1	1	8	12.5%	No
FN1		1	1	8	12.5%	No
DRC1		1	1	8	12.5%	No
IRF7		1	1	8	12.5%	No
SH3PXD2B		1	1	8	12.5%	No
ADAMTS18		1	1	8	12.5%	No
CAPZA1		1	1	8	12.5%	No
CDH11		1	1	8	12.5%	Yes
FAAH2		1	1	8	12.5%	No
SLC28A3		1	1	8	12.5%	No
P3H4		1	1	8	12.5%	No
GALT		1	1	8	12.5%	No
CSMD3		1	1	8	12.5%	No
ZNF587		1	1	8	12.5%	No
SPTA1		1	1	8	12.5%	No
PELP1		1	1	8	12.5%	No
PIWIL2		1	1	8	12.5%	No
ABHD8		1	1	8	12.5%	No
ETF1		1	1	8	12.5%	No
TREML1		1	1	8	12.5%	No
HEXIM1		1	1	8	12.5%	No
CTNNB1		1	1	8	12.5%	Yes
CAPZA2		1	1	8	12.5%	No
