Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
GMCL1		1	1	2	50.0%	No
CNTNAP5		1	1	2	50.0%	No
TTLL10-AS1		1	1	2	50.0%	No
MEFV		1	1	2	50.0%	No
ZNF536		1	1	2	50.0%	No
POLA1		1	1	2	50.0%	No
WHRN		1	1	2	50.0%	No
ARHGEF2		1	1	2	50.0%	No
PPIAL4G		1	1	2	50.0%	No
CDC6		1	1	2	50.0%	No
ADAM32		1	1	2	50.0%	No
CCND1		1	1	2	50.0%	Yes
NLGN4X		1	1	2	50.0%	No
ZFHX4		1	1	2	50.0%	No
COL9A2		1	1	2	50.0%	No
EZH1		1	1	2	50.0%	Yes
PTPN4		1	1	2	50.0%	No
DLG1		1	1	2	50.0%	No
SPOP		1	1	2	50.0%	Yes
LAMA5		1	1	2	50.0%	No
RSPRY1		1	1	2	50.0%	No
PPFIA3		1	1	2	50.0%	No
NPAS4		1	1	2	50.0%	No
TPSAB1		1	1	2	50.0%	No
POLR2B		1	1	2	50.0%	No
EIF3H		1	1	2	50.0%	No
MUC4	1.790e-5	1	1	2	50.0%	No
CYP27A1		1	1	2	50.0%	No
FKBP2		1	1	2	50.0%	No
PCDHA7		1	1	2	50.0%	No
ZNF729		1	1	2	50.0%	No
IBTK		1	1	2	50.0%	No
ERICH3		1	1	2	50.0%	No
FBXW7	0	1	1	2	50.0%	Yes
SF3B3		1	1	2	50.0%	No
GFPT1		1	1	2	50.0%	No
SF3B1		1	1	2	50.0%	Yes
RASIP1		1	1	2	50.0%	No
PTPRC		1	1	2	50.0%	Yes
ADAMTS14		1	1	2	50.0%	No
BAIAP3		1	1	2	50.0%	No
IFT172		1	1	2	50.0%	No
FLNC		1	1	2	50.0%	No
CCDC78		1	1	2	50.0%	No
MUC12		1	1	2	50.0%	No
ZNF774		1	1	2	50.0%	No
B4GALT7		1	1	2	50.0%	No
MAPK8IP2		1	1	2	50.0%	No
FBXW8		1	1	2	50.0%	No
TMEM178A		1	1	2	50.0%	No
DNAH2		1	1	2	50.0%	No
GNPTAB		1	1	2	50.0%	No
UBXN6		1	1	2	50.0%	No
DCC		1	1	2	50.0%	No
PPIP5K2		1	1	2	50.0%	No
ANKRD31		1	1	2	50.0%	No
PKHD1		1	1	2	50.0%	No
ZBTB47		1	1	2	50.0%	No
DCTN1		1	1	2	50.0%	Yes
RASGRP2		1	1	2	50.0%	No
FOXRED2		1	1	2	50.0%	No
CAMK2D		1	1	2	50.0%	No
B3GALT4		1	1	2	50.0%	No
SIGLEC8		1	1	2	50.0%	No
ARID1A	1.710e-2	1	1	2	50.0%	Yes
GOLGA8O		1	1	2	50.0%	No
HHLA1		1	1	2	50.0%	No
EDIL3		1	1	2	50.0%	No
PIK3CA	4.580e-12	2	2	2	100.0%	Yes
OTUD5		1	1	2	50.0%	No
FREM3		1	1	2	50.0%	No
PTEN	1.500e-10	1	1	2	50.0%	Yes
SGSM3		1	1	2	50.0%	No
RERGL		1	1	2	50.0%	No
